sim,variable,eff,eff_low,eff_upp,rmse,occ,set,eff_confint_upp,eff_confint_low
26,Uncertainty Sampling,841.6205543337045,784.716309983809,893.6688254484111,0.019758745566196455,0.8161,samplers,784.716309983809,893.6688254484111
26,Weighted Balanced Acceptance,860.343273492609,808.6169055797751,915.3785224330218,0.01817818628110574,0.8161,samplers,808.6169055797751,915.3785224330218
26,Balanced Acceptance,1003.598044866814,947.0397488904282,1063.534066907497,0.01613051458951337,0.8161,samplers,947.0397488904282,1063.534066907497
26,Balanced Mask,824.9537007115347,776.9074752541673,877.725116124203,0.01819546844318009,0.8161,samplers,776.9074752541673,877.725116124203
27,Uncertainty Sampling,622.2233187050035,580.153115469741,663.3517962660562,0.015626798038340155,0.429,samplers,580.153115469741,663.3517962660562
27,Weighted Balanced Acceptance,897.2510185790447,839.9388273399637,960.3928945868611,0.014254220334432983,0.429,samplers,839.9388273399637,960.3928945868611
27,Balanced Acceptance,1346.6512972795192,1260.633521780898,1441.4186338195739,0.015488405128490085,0.429,samplers,1260.633521780898,1441.4186338195739
27,Balanced Mask,606.2524365710665,574.379921082227,647.6193247931019,0.014080075460386882,0.429,samplers,574.379921082227,647.6193247931019
28,Uncertainty Sampling,831.5804647033556,770.7163936925931,891.8830955497258,0.01344135591570199,0.1605,samplers,770.7163936925931,891.8830955497258
28,Weighted Balanced Acceptance,2518.550648515488,2338.8893872054864,2706.59340307383,0.012132522594597581,0.1605,samplers,2338.8893872054864,2706.59340307383
28,Balanced Acceptance,4902.524140761195,4489.500293573133,5461.7049577119205,0.009242894138948757,0.1605,samplers,4489.500293573133,5461.7049577119205
28,Balanced Mask,761.5221533280869,705.7857088302453,805.3885760883596,0.01316897923193505,0.1605,samplers,705.7857088302453,805.3885760883596
29,Uncertainty Sampling,1407.2330362757077,1325.2742115881656,1509.2795103130977,0.021879985829037316,0.8435,samplers,1325.2742115881656,1509.2795103130977
29,Weighted Balanced Acceptance,1407.2330362757077,1335.9199962147059,1488.2947349035294,0.019238276814947667,0.8435,samplers,1335.9199962147059,1488.2947349035294
29,Balanced Acceptance,1625.2144758465404,1524.449546169699,1729.1777263484853,0.01914082186242349,0.8435,samplers,1524.449546169699,1729.1777263484853
29,Balanced Mask,1379.3651961818352,1306.847815750792,1476.4346944419108,0.01835340527031217,0.8435,samplers,1306.847815750792,1476.4346944419108
30,Uncertainty Sampling,981.7578272218437,920.8878559719464,1038.3106191648053,0.00884374941174598,0.3721,samplers,920.8878559719464,1038.3106191648053
30,Weighted Balanced Acceptance,1641.549794589551,1527.501801725633,1753.5589227470591,0.011178994367223211,0.3721,samplers,1527.501801725633,1753.5589227470591
30,Balanced Acceptance,2584.8983827749876,2386.142859759614,2755.758156006931,0.009221650320300402,0.3721,samplers,2386.142859759614,2755.758156006931
30,Balanced Mask,947.0397488904282,895.4581307386311,1005.6074506330227,0.009480539059938176,0.3721,samplers,895.4581307386311,1005.6074506330227
