sim,variable,offset,eff,eff_low,eff_upp,deg,pmax,occ,set
4,Under-0.50,-0.5,1676.894500786669,1791.3153314336046,1526.4338081822027,55,0.9090909090909091,0.8611,ranges
5,Over-0.50,0.5,364.03333977447653,388.09566048201725,343.5180493337017,67,1.0,0.6814,ranges
5,Over-0.45,0.45,357.53871717110684,381.1717483744127,336.0424379564197,67,1.0,0.6814,ranges
5,Over-0.40,0.4,347.66551569606236,372.8767203129377,329.3876930177214,67,1.0,0.6814,ranges
5,Over-0.35,0.35,336.0424379564197,357.53871717110684,315.2074693216032,67,1.0,0.6814,ranges
5,Over-0.30,0.3,324.8079404182718,349.0591024326926,302.2416473986744,67,1.0,0.6814,ranges
5,Over-0.25,0.25,315.2074693216032,334.70081906948275,295.664289666339,67,1.0,0.6814,ranges
5,Over-0.20,0.2,298.0393289767125,319.65185644198164,280.6811853829249,67,1.0,0.6814,ranges
5,Over-0.15,0.15,283.50236172397837,302.84679615536766,265.924930580649,67,1.0,0.6814,ranges
5,Over-0.10,0.1,278.4444710162149,297.44378650551704,263.8058070209971,67,1.0,0.6814,ranges
5,Over-0.05,0.05,262.75258631668544,281.24316574474307,247.44958205015683,67,1.0,0.6814,ranges
5,True-0.00,0.0,248.44146200362127,263.8058070209971,233.504430629816,67,1.0,0.6814,ranges
5,Under-0.05,-0.05,249.93674165628124,265.39355913093425,232.10745945377786,67,1.0,0.6814,ranges
5,Under-0.10,-0.1,249.93674165628124,264.33399947065203,234.4404126665118,67,1.0,0.6814,ranges
5,Under-0.15,-0.15,248.93889193472597,263.8058070209971,237.7459940754607,67,1.0,0.6814,ranges
5,Under-0.20,-0.2,246.4616620872437,260.6587427841994,231.64366210709684,67,1.0,0.6814,ranges
5,Under-0.25,-0.25,237.99254013115598,254.23166794558085,223.68372867109954,67,0.9850746268656716,0.6814,ranges
5,Under-0.30,-0.3,235.6242391424715,250.6968724240202,218.81594186860133,67,0.9850746268656716,0.6814,ranges
5,Under-0.35,-0.35,233.57504118049945,249.51274639554214,222.18234097427202,67,0.9701492537313433,0.6814,ranges
5,Under-0.40,-0.4,232.17764756749145,247.52440954361265,219.53182274943055,67,0.9701492537313433,0.6814,ranges
5,Under-0.45,-0.45,234.04270553774953,247.52440954361265,221.29529817453627,67,0.9701492537313433,0.6814,ranges
5,Under-0.50,-0.5,228.83563326182957,242.98749661567368,213.79063317589672,67,0.9552238805970149,0.6814,ranges
6,Over-0.50,0.5,429.7751039892357,467.4397478084616,407.9957906715782,59,1.0,0.6245,ranges
6,Over-0.45,0.45,417.0720787534519,443.7517383585182,396.72924959836973,59,1.0,0.6245,ranges
6,Over-0.40,0.4,409.6312060257371,434.9639952007242,382.6996419069335,59,1.0,0.6245,ranges
6,Over-0.35,0.35,395.9365048337362,422.1075999456129,367.69230339231035,59,1.0,0.6245,ranges
6,Over-0.30,0.3,381.9349311177592,409.6312060257371,358.97187977017467,59,1.0,0.6245,ranges
6,Over-0.25,0.25,369.90531089624403,395.14534413244604,344.2058417747672,59,1.0,0.6245,ranges
6,Over-0.20,0.2,350.4582752395678,372.8767203129377,326.1099045685352,59,1.0,0.6245,ranges
6,Over-0.15,0.15,340.099647498839,358.97187977017467,315.2074693216032,59,1.0,0.6245,ranges
6,Over-0.10,0.1,320.2918639497665,346.9708101312699,301.63770785080357,59,1.0,0.6245,ranges
6,Over-0.05,0.05,299.23399349506303,322.21958528586845,281.24316574474307,59,1.0,0.6245,ranges
6,True-0.00,0.0,289.8091647982529,306.5032180011463,271.2975131736488,59,1.0,0.6245,ranges
6,Under-0.05,-0.05,298.636063844088,315.2074693216032,274.0243725622042,59,1.0,0.6245,ranges
6,Under-0.10,-0.1,299.8331203218334,318.37567546182,281.8062713046279,59,1.0,0.6245,ranges
6,Under-0.15,-0.15,294.4838768660348,310.2037856687861,276.22558075535517,59,1.0,0.6245,ranges
6,Under-0.20,-0.2,303.4531565419633,320.93315288170743,283.50236172397837,59,1.0,0.6245,ranges
6,Under-0.25,-0.25,304.0607309843886,322.21958528586845,288.6521280517474,59,1.0,0.6245,ranges
6,Under-0.30,-0.3,308.96532525234767,326.1099045685352,293.30817675653515,59,1.0,0.6245,ranges
6,Under-0.35,-0.35,312.0707904961926,334.03201957384556,294.4838768660348,59,1.0,0.6245,ranges
6,Under-0.40,-0.4,319.0131277978082,342.83163124014726,298.0393289767125,59,1.0,0.6245,ranges
6,Under-0.45,-0.45,325.4582714464405,346.9708101312699,307.11689928197694,59,1.0,0.6245,ranges
6,Under-0.50,-0.5,332.69842709955185,353.98079347777275,311.4472103452169,59,1.0,0.6245,ranges
7,Over-0.20,0.2,215.119320008533,227.05635611871233,203.80984981868946,63,1.0,0.859,ranges
7,Over-0.15,0.15,210.01741392436182,224.79688280754593,200.57452035135248,63,1.0,0.859,ranges
7,Over-0.10,0.1,200.97611100790024,215.98160694129538,189.64999650547904,63,1.0,0.859,ranges
7,Over-0.05,0.05,192.7091100015489,206.27054874871746,180.76095164707826,63,1.0,0.859,ranges
7,True-0.00,0.0,182.577812009405,195.42628509994896,174.71779091231477,63,1.0,0.859,ranges
7,Under-0.05,-0.05,182.577812009405,193.48156757240764,173.32548600053326,63,1.0,0.859,ranges
7,Under-0.10,-0.1,185.52284896744524,195.8175679508443,175.06761117981526,63,1.0,0.859,ranges
7,Under-0.15,-0.15,185.52284896744524,195.8175679508443,172.2885433294134,63,1.0,0.859,ranges
7,Under-0.20,-0.2,184.04443985686558,195.8175679508443,174.36866965600626,63,1.0,0.859,ranges
7,Under-0.25,-0.25,181.1228715416044,191.93973639732448,167.19614571625442,63,1.0,0.859,ranges
7,Under-0.30,-0.3,181.48551607277818,194.25712147171083,170.23323181354962,63,1.0,0.859,ranges
7,Under-0.35,-0.35,179.3204895194242,191.17343444727808,169.21478896256855,63,1.0,0.859,ranges
7,Under-0.40,-0.4,179.3204895194242,190.7914315083757,170.23323181354962,63,1.0,0.859,ranges
7,Under-0.45,-0.45,178.2476809459166,190.0297140612163,168.20243908080172,63,1.0,0.859,ranges
7,Under-0.50,-0.5,177.8915062599787,189.64999650547904,167.53090613254673,63,1.0,0.859,ranges
8,Over-0.50,0.5,5928.487996187318,6552.058048352322,5332.171702620776,42,1.0,0.4049,ranges
8,Over-0.45,0.45,5799.47273075851,6422.305760514834,5102.620358924393,42,1.0,0.4049,ranges
8,Over-0.40,0.4,5616.809536711584,6269.990288186836,4961.71478301102,42,1.0,0.4049,ranges
8,Over-0.35,0.35,5418.181292493759,5834.377667722425,4795.835815896868,42,1.0,0.4049,ranges
8,Over-0.30,0.3,5226.57717454249,5776.318863058996,4635.502478254426,42,1.0,0.4049,ranges
8,Over-0.25,0.25,5021.620063685727,5549.803959323047,4435.942921297884,42,1.0,0.4049,ranges
8,Over-0.20,0.2,4738.624022296874,5396.549696201747,4177.588648168539,42,1.0,0.4049,ranges
8,Over-0.15,0.15,4552.801703671794,5021.620063685727,3997.742397694925,42,1.0,0.4049,ranges
8,Over-0.10,0.1,4253.473749163054,4776.688877348319,3934.2812166303606,42,1.0,0.4049,ranges
8,Over-0.05,0.05,3997.742397694925,4489.500293573133,3697.7406589785046,42,1.0,0.4049,ranges
8,True-0.00,0.0,3973.825374434415,4418.232822416379,3559.8492556523997,42,1.0,0.4049,ranges
8,Under-0.05,-0.05,3749.878354175363,4270.52342574536,3352.5196566897066,42,1.0,0.4049,ranges
8,Under-0.10,-0.1,3836.3099899327426,4448.316748957909,3527.193681299611,42,0.9523809523809523,0.4049,ranges
8,Under-0.15,-0.15,3958.3583155253723,4454.171949402168,3482.7303560880355,42,0.9285714285714286,0.4049,ranges
8,Under-0.20,-0.2,3765.185983977047,4365.8463261359875,3482.6359271161837,42,0.9047619047619048,0.4049,ranges
8,Under-0.25,-0.25,4054.6585512179836,4508.105869456394,3546.116561221571,42,0.8571428571428571,0.4049,ranges
8,Under-0.30,-0.3,3800.0441772490017,4319.006908497263,3507.854831252415,42,0.8095238095238095,0.4049,ranges
8,Under-0.35,-0.35,3879.2169399757977,4417.819793345801,3385.899872726564,42,0.7619047619047619,0.4049,ranges
8,Under-0.40,-0.4,3975.1639229984207,4491.012542754919,3421.403969544713,42,0.6904761904761905,0.4049,ranges
8,Under-0.45,-0.45,4011.457755460327,4726.4344725148185,3529.449479677076,42,0.6666666666666666,0.4049,ranges
8,Under-0.50,-0.5,4092.9143728832696,4651.873669839237,3565.2831494785855,42,0.6190476190476191,0.4049,ranges
9,Over-0.50,0.5,733.1244456274792,786.287470356414,690.4264586100941,61,1.0,0.2472,ranges
9,Over-0.45,0.45,712.8796860802311,758.4818453540726,666.0107837792287,61,1.0,0.2472,ranges
9,Over-0.40,0.4,694.5818867213768,730.1975129200787,641.1747636049516,61,1.0,0.2472,ranges
9,Over-0.35,0.35,662.0262860745786,701.5632523696268,613.5720274707423,61,1.0,0.2472,ranges
9,Over-0.30,0.3,637.3388506796882,671.3607764834319,600.2195237573609,61,1.0,0.2472,ranges
9,Over-0.25,0.25,608.682546307327,641.1747636049516,567.527871355252,61,1.0,0.2472,ranges
9,Over-0.20,0.2,588.3332040945139,623.4691353253818,554.0680207956218,61,1.0,0.2472,ranges
9,Over-0.15,0.15,558.5187893733748,595.4364470786151,525.9900309069753,61,1.0,0.2472,ranges
9,Over-0.10,0.1,530.2152520240687,566.393836621852,500.33469246284415,61,1.0,0.2472,ranges
9,Over-0.05,0.05,512.4892112901139,545.2726039098155,481.67685265222485,61,1.0,0.2472,ranges
9,True-0.00,0.0,487.4923798065556,516.6059817811662,460.01949019267596,61,1.0,0.2472,ranges
9,Under-0.05,-0.05,490.4264208095058,520.7558218450073,461.8634379849687,61,1.0,0.2472,ranges
9,Under-0.10,-0.1,494.365963287168,519.7152470655122,463.7147770803097,61,1.0,0.2472,ranges
9,Under-0.15,-0.15,486.7750763843494,512.759724133658,456.5945327888607,61,0.9836065573770492,0.2472,ranges
9,Under-0.20,-0.2,476.18191743315595,506.6427708788618,445.7656475695213,61,0.9836065573770492,0.2472,ranges
9,Under-0.25,-0.25,473.3330960578594,503.6117134143124,447.55246008342436,61,0.9836065573770492,0.2472,ranges
9,Under-0.30,-0.3,458.7941701672816,488.14274781706524,432.0734849708041,61,0.9672131147540983,0.2472,ranges
9,Under-0.35,-0.35,441.89869272544934,470.1664845591198,412.8456742979344,61,0.9344262295081968,0.2472,ranges
9,Under-0.40,-0.4,423.60055996696934,451.6002276131624,394.1705702100371,61,0.9016393442622951,0.2472,ranges
9,Under-0.45,-0.45,402.16787510863423,433.060309823861,380.2633354194838,61,0.8524590163934426,0.2472,ranges
9,Under-0.50,-0.5,413.5888653376719,445.358600844113,387.94594032670267,61,0.8524590163934426,0.2472,ranges
10,Over-0.50,0.5,858.6241347436013,904.4585391179734,808.6169055797751,56,1.0,0.2727,ranges
10,Over-0.45,0.45,838.260460774704,886.5472868307305,787.8617765090737,56,1.0,0.2727,ranges
10,Over-0.40,0.4,805.3885760883596,853.4873021616576,752.4375954052294,56,1.0,0.2727,ranges
10,Over-0.35,0.35,769.1763474602183,826.6054244584506,727.2822657254533,56,1.0,0.2727,ranges
10,Over-0.30,0.3,747.9360378557072,794.1905850792992,704.3754071542406,56,1.0,0.2727,ranges
10,Over-0.25,0.25,718.6061716152882,760.0004790355695,668.6804296107084,56,1.0,0.2727,ranges
10,Over-0.20,0.2,694.5818867213768,740.4932093664195,654.1286614079621,56,1.0,0.2727,ranges
10,Over-0.15,0.15,666.0107837792287,702.9679235443883,616.0314771453501,56,1.0,0.2727,ranges
10,Over-0.10,0.1,620.9799914765829,660.7034245188274,584.8134227961061,56,1.0,0.2727,ranges
10,Over-0.05,0.05,609.9012515694544,643.7448564271654,575.5299455679465,56,1.0,0.2727,ranges
10,True-0.00,0.0,575.5299455679465,608.682546307327,537.6912228257617,56,1.0,0.2727,ranges
10,Under-0.05,-0.05,569.812275885602,605.0511298644714,539.8555293335972,56,0.9821428571428571,0.2727,ranges
10,Under-0.10,-0.1,551.9114583124302,586.0432734940347,512.5407556464729,56,0.9285714285714286,0.2727,ranges
10,Under-0.15,-0.15,540.6660023246811,572.9551937970303,499.09363151708703,56,0.9107142857142857,0.2727,ranges
10,Under-0.20,-0.2,543.9200762044651,577.5576809958948,503.10279676239907,56,0.9107142857142857,0.2727,ranges
10,Under-0.25,-0.25,527.7379977231228,560.3748555583857,494.0285670026788,56,0.8928571428571429,0.2727,ranges
10,Under-0.30,-0.3,531.9772600688885,569.413876465762,492.05620285662667,56,0.8928571428571429,0.2727,ranges
10,Under-0.35,-0.35,531.0208315663436,567.2543838918721,502.09816618023126,56,0.875,0.2727,ranges
10,Under-0.40,-0.4,537.2539820430359,578.5230256265812,499.9278293353277,56,0.8392857142857143,0.2727,ranges
10,Under-0.45,-0.45,555.8365897553043,587.8547821680596,516.1858871353076,56,0.8392857142857143,0.2727,ranges
10,Under-0.50,-0.5,536.9875728289986,580.5539611657924,498.6814682052451,56,0.8214285714285714,0.2727,ranges
11,Over-0.50,0.5,2701.1850855564026,2914.4997655164707,2498.4806234757416,55,1.0,0.5066,ranges
11,Over-0.45,0.45,2579.733236363095,2789.0298116797835,2390.920399179823,55,1.0,0.5066,ranges
11,Over-0.40,0.4,2498.4806234757416,2658.3057855038987,2338.8893872054864,55,1.0,0.5066,ranges
11,Over-0.35,0.35,2386.142859759614,2554.061907459872,2229.2637976204805,55,1.0,0.5066,ranges
11,Over-0.30,0.3,2287.990669810254,2458.8191056840783,2150.4299416519593,55,1.0,0.5066,ranges
11,Over-0.25,0.25,2251.6705231558394,2405.310487674678,2061.9736251147856,55,1.0,0.5066,ranges
11,Over-0.20,0.2,2141.8445455862143,2283.418804673366,1989.0556815557065,55,1.0,0.5066,ranges
11,Over-0.15,0.15,2095.2339017367567,2211.499064453483,1934.1291895537704,55,1.0,0.5066,ranges
11,Over-0.10,0.1,1945.7700163281406,2082.698887476473,1806.9681639378584,55,1.0,0.5066,ranges
11,Over-0.05,0.05,1884.4850370612887,2009.0480327430114,1764.1129621403988,55,1.0,0.5066,ranges
11,True-0.00,0.0,1767.6450722082652,1873.2108557905135,1631.7290055754472,55,1.0,0.5066,ranges
11,Under-0.05,-0.05,1747.1647503309941,1892.6961221538218,1642.1200670465255,55,0.9818181818181818,0.5066,ranges
11,Under-0.10,-0.1,1715.9940457841476,1833.0827857208021,1584.049480251579,55,0.9818181818181818,0.5066,ranges
11,Under-0.15,-0.15,1726.321995716717,1840.4305373441152,1599.971042327949,55,0.9818181818181818,0.5066,ranges
11,Under-0.20,-0.2,1692.1351452896563,1814.8414922274376,1593.5833033804747,55,0.9818181818181818,0.5066,ranges
11,Under-0.25,-0.25,1659.7707056962324,1765.944481660298,1529.0876691993049,55,0.9636363636363636,0.5066,ranges
11,Under-0.30,-0.3,1633.4230827627057,1730.9729757611706,1519.939699742172,55,0.9636363636363636,0.5066,ranges
11,Under-0.35,-0.35,1566.2334540984982,1693.3036850311253,1469.1254070036398,55,0.9636363636363636,0.5066,ranges
11,Under-0.40,-0.4,1575.6600489846437,1683.1732715143992,1457.4181245940263,55,0.9636363636363636,0.5066,ranges
11,Under-0.45,-0.45,1613.937206294062,1755.3794849589121,1480.926732748594,55,0.9636363636363636,0.5066,ranges
11,Under-0.50,-0.5,1588.3171560040485,1696.6940206401357,1454.505910308534,55,0.9636363636363636,0.5066,ranges
12,Over-0.30,0.3,6422.305760514834,7027.185055953123,5834.377667722425,63,1.0,0.7928,ranges
12,Over-0.25,0.25,6358.396391448564,7097.816538419654,5718.837810641138,63,1.0,0.7928,ranges
12,Over-0.20,0.2,5964.1694295529305,6578.321398559876,5429.029584583587,63,1.0,0.7928,ranges
12,Over-0.15,0.15,5799.47273075851,6460.959305093954,5300.271279343342,63,1.0,0.7928,ranges
12,Over-0.10,0.1,5696.005870530405,6295.12299450924,5310.883491797972,63,1.0,0.7928,ranges
12,Over-0.05,0.05,5516.601522251831,6145.82386923765,4971.649137054694,63,1.0,0.7928,ranges
12,True-0.00,0.0,5072.093256956965,5639.324025262075,4700.862501464452,63,1.0,0.7928,ranges
12,Under-0.05,-0.05,5112.836834359386,5650.615089719434,4571.051210114919,63,1.0,0.7928,ranges
12,Under-0.10,-0.1,4805.438046781577,5300.271279343342,4435.942921297884,63,1.0,0.7928,ranges
12,Under-0.15,-0.15,5041.7424408015195,5560.908786395456,4525.558267776605,63,0.9841269841269841,0.7928,ranges
12,Under-0.20,-0.2,5063.262637179595,5652.071225516693,4581.383672815847,63,0.9682539682539683,0.7928,ranges
12,Under-0.25,-0.25,5063.262637179595,5720.311527099006,4463.791264351999,63,0.9682539682539683,0.7928,ranges
12,Under-0.30,-0.3,4900.517859162433,5470.400800170911,4381.230775795122,63,0.9365079365079365,0.7928,ranges
12,Under-0.35,-0.35,5131.230456732868,5693.674868900149,4532.7693320919325,63,0.9365079365079365,0.7928,ranges
12,Under-0.40,-0.4,5178.104790760811,5745.687192240871,4555.9146758026645,63,0.9206349206349206,0.7928,ranges
12,Under-0.45,-0.45,5101.453188814794,5915.288316997396,4606.715992513057,63,0.8888888888888888,0.7928,ranges
12,Under-0.50,-0.5,5180.203402814515,5923.086751845208,4576.030508913545,63,0.7936507936507936,0.7928,ranges
13,Over-0.50,0.5,3070.079320523488,3305.9067718190963,2885.4971225244253,57,1.0,0.4207,ranges
13,Over-0.45,0.45,2991.2782317568985,3201.7822215028104,2817.062844633058,57,1.0,0.4207,ranges
13,Over-0.40,0.4,2914.4997655164707,3009.2816577523777,2706.59340307383,57,1.0,0.4207,ranges
13,Over-0.35,0.35,2766.8043709525946,3003.268508275987,2595.2597213004997,57,1.0,0.4207,ranges
13,Over-0.30,0.3,2642.402119139072,2822.7031728030142,2483.5331323062114,57,1.0,0.4207,ranges
13,Over-0.25,0.25,2610.8796545569385,2800.2093931399713,2439.2250740737272,57,1.0,0.4207,ranges
13,Over-0.20,0.2,2449.0024939138248,2631.8525688754858,2301.761261346997,57,1.0,0.4207,ranges
13,Over-0.15,0.15,2395.707504197846,2554.061907459872,2251.6705231558394,57,1.0,0.4207,ranges
13,Over-0.10,0.1,2242.680933271311,2410.1264045531316,2091.0472033575297,57,1.0,0.4207,ranges
13,Over-0.05,0.05,2154.735536253984,2301.761261346997,2021.1397690431836,57,1.0,0.4207,ranges
13,True-0.00,0.0,2078.537236574687,2215.926931760328,1953.5694648350197,57,1.0,0.4207,ranges
13,Under-0.05,-0.05,2001.027091096822,2141.8445455862143,1888.2581563087517,57,1.0,0.4207,ranges
13,Under-0.10,-0.1,1941.327614182896,2086.27311777493,1835.5909544284928,57,0.9649122807017544,0.4207,ranges
13,Under-0.15,-0.15,1993.161387214794,2167.838126343822,1843.5889980454385,57,0.9473684210526315,0.4207,ranges
13,Under-0.20,-0.2,1897.2535630566558,2063.525129333969,1772.5169579556296,57,0.9298245614035088,0.4207,ranges
13,Under-0.25,-0.25,1933.7392085000533,2082.2789501159746,1799.391120992393,57,0.9122807017543859,0.4207,ranges
