sim,set,sp,type,sampler,layer,offset,nbon,low,med,upp,deg,confint_low,confint_upp,pmax
1,ranges,node_55,realized,Balanced Acceptance,Over-0.40,0.4,196,0.19298245614035087,0.2807017543859649,0.38596491228070173,57,0.2631578947368421,0.2982456140350877,1.0
1,ranges,node_55,realized,Balanced Acceptance,Over-0.40,0.4,210,0.22807017543859648,0.2982456140350877,0.37807017543859645,57,0.2807017543859649,0.3157894736842105,1.0
1,ranges,node_55,realized,Balanced Acceptance,Over-0.40,0.4,224,0.21842105263157893,0.3333333333333333,0.41315789473684206,57,0.3157894736842105,0.3508771929824561,1.0
1,ranges,node_55,realized,Balanced Acceptance,Over-0.40,0.4,238,0.2631578947368421,0.34210526315789475,0.41315789473684206,57,0.3157894736842105,0.3684210526315789,1.0
1,ranges,node_55,realized,Balanced Acceptance,Over-0.40,0.4,252,0.2710526315789474,0.34210526315789475,0.43859649122807015,57,0.3333333333333333,0.3684210526315789,1.0
1,ranges,node_55,realized,Balanced Acceptance,Over-0.40,0.4,266,0.2885964912280702,0.3684210526315789,0.4657894736842105,57,0.3508771929824561,0.38596491228070173,1.0
1,ranges,node_55,realized,Balanced Acceptance,Over-0.40,0.4,280,0.24385964912280703,0.38596491228070173,0.45614035087719296,57,0.3684210526315789,0.38596491228070173,1.0
1,ranges,node_55,realized,Balanced Acceptance,Over-0.40,0.4,294,0.30614035087719305,0.38596491228070173,0.4833333333333333,57,0.3684210526315789,0.40350877192982454,1.0
1,ranges,node_55,realized,Balanced Acceptance,Over-0.40,0.4,308,0.3157894736842105,0.41228070175438597,0.5008771929824561,57,0.40350877192982454,0.43859649122807015,1.0
1,ranges,node_55,realized,Balanced Acceptance,Over-0.40,0.4,322,0.32368421052631585,0.41228070175438597,0.5087719298245614,57,0.38596491228070173,0.43859649122807015,1.0
1,ranges,node_55,realized,Balanced Acceptance,Over-0.40,0.4,336,0.3587719298245614,0.42105263157894735,0.47368421052631576,57,0.42105263157894735,0.43859649122807015,1.0
1,ranges,node_55,realized,Balanced Acceptance,Over-0.40,0.4,350,0.3333333333333333,0.42105263157894735,0.5087719298245614,57,0.40350877192982454,0.43859649122807015,1.0
1,ranges,node_55,realized,Balanced Acceptance,Over-0.40,0.4,364,0.32368421052631585,0.43859649122807015,0.5184210526315789,57,0.40350877192982454,0.43859649122807015,1.0
1,ranges,node_55,realized,Balanced Acceptance,Over-0.40,0.4,378,0.3587719298245614,0.45614035087719296,0.5614035087719298,57,0.43859649122807015,0.49122807017543857,1.0
1,ranges,node_55,realized,Balanced Acceptance,Over-0.40,0.4,392,0.37631578947368427,0.47368421052631576,0.543859649122807,57,0.45614035087719296,0.47368421052631576,1.0
1,ranges,node_55,realized,Balanced Acceptance,Over-0.40,0.4,406,0.3938596491228071,0.47368421052631576,0.5614035087719298,57,0.45614035087719296,0.49122807017543857,1.0
1,ranges,node_55,realized,Balanced Acceptance,Over-0.40,0.4,420,0.3938596491228071,0.47368421052631576,0.5535087719298245,57,0.47368421052631576,0.5087719298245614,1.0
1,ranges,node_55,realized,Balanced Acceptance,Over-0.35,0.35,1,0.0,0.0,0.017543859649122806,57,0.0,0.0,1.0
1,ranges,node_55,realized,Balanced Acceptance,Over-0.35,0.35,14,0.0,0.017543859649122806,0.05263157894736842,57,0.017543859649122806,0.03508771929824561,1.0
1,ranges,node_55,realized,Balanced Acceptance,Over-0.35,0.35,27,0.007894736842105267,0.05263157894736842,0.09736842105263153,57,0.03508771929824561,0.05263157894736842,1.0
1,ranges,node_55,realized,Balanced Acceptance,Over-0.35,0.35,40,0.025438596491228073,0.08771929824561403,0.14035087719298245,57,0.07017543859649122,0.08771929824561403,1.0
1,ranges,node_55,realized,Balanced Acceptance,Over-0.35,0.35,54,0.04298245614035088,0.10526315789473684,0.15789473684210525,57,0.08771929824561403,0.10526315789473684,1.0
1,ranges,node_55,realized,Balanced Acceptance,Over-0.35,0.35,68,0.07017543859649122,0.12280701754385964,0.21052631578947367,57,0.12280701754385964,0.14035087719298245,1.0
1,ranges,node_55,realized,Balanced Acceptance,Over-0.35,0.35,81,0.08771929824561403,0.15789473684210525,0.21052631578947367,57,0.15789473684210525,0.17543859649122806,1.0
1,ranges,node_55,realized,Balanced Acceptance,Over-0.35,0.35,94,0.08771929824561403,0.15789473684210525,0.2631578947368421,57,0.15789473684210525,0.17543859649122806,1.0
1,ranges,node_55,realized,Balanced Acceptance,Over-0.35,0.35,108,0.1307017543859649,0.19298245614035087,0.2631578947368421,57,0.17543859649122806,0.19298245614035087,1.0
1,ranges,node_55,realized,Balanced Acceptance,Over-0.35,0.35,122,0.14035087719298245,0.21052631578947367,0.2903508771929824,57,0.19298245614035087,0.22807017543859648,1.0
1,ranges,node_55,realized,Balanced Acceptance,Over-0.35,0.35,135,0.12280701754385964,0.21052631578947367,0.2807017543859649,57,0.19298245614035087,0.22807017543859648,1.0
1,ranges,node_55,realized,Balanced Acceptance,Over-0.35,0.35,148,0.15789473684210525,0.24561403508771928,0.3333333333333333,57,0.22807017543859648,0.2631578947368421,1.0
1,ranges,node_55,realized,Balanced Acceptance,Over-0.35,0.35,162,0.21052631578947367,0.2631578947368421,0.3684210526315789,57,0.2631578947368421,0.2982456140350877,1.0
1,ranges,node_55,realized,Balanced Acceptance,Over-0.35,0.35,176,0.19298245614035087,0.2719298245614035,0.3508771929824561,57,0.2631578947368421,0.2982456140350877,1.0
1,ranges,node_55,realized,Balanced Acceptance,Over-0.35,0.35,189,0.21052631578947367,0.2807017543859649,0.3684210526315789,57,0.2631578947368421,0.2982456140350877,1.0
1,ranges,node_55,realized,Balanced Acceptance,Over-0.35,0.35,202,0.23596491228070174,0.2982456140350877,0.38596491228070173,57,0.2982456140350877,0.3157894736842105,1.0
1,ranges,node_55,realized,Balanced Acceptance,Over-0.35,0.35,216,0.22807017543859648,0.3157894736842105,0.38596491228070173,57,0.2982456140350877,0.3333333333333333,1.0
1,ranges,node_55,realized,Balanced Acceptance,Over-0.35,0.35,230,0.2631578947368421,0.3508771929824561,0.42105263157894735,57,0.3333333333333333,0.3684210526315789,1.0
1,ranges,node_55,realized,Balanced Acceptance,Over-0.35,0.35,243,0.2710526315789474,0.3508771929824561,0.45614035087719296,57,0.3333333333333333,0.3684210526315789,1.0
1,ranges,node_55,realized,Balanced Acceptance,Over-0.35,0.35,256,0.2631578947368421,0.3508771929824561,0.43859649122807015,57,0.3333333333333333,0.3684210526315789,1.0
1,ranges,node_55,realized,Balanced Acceptance,Over-0.35,0.35,270,0.2982456140350877,0.3684210526315789,0.47368421052631576,57,0.3508771929824561,0.38596491228070173,1.0
1,ranges,node_55,realized,Balanced Acceptance,Over-0.35,0.35,284,0.32368421052631585,0.38596491228070173,0.4657894736842105,57,0.3684210526315789,0.40350877192982454,1.0
1,ranges,node_55,realized,Balanced Acceptance,Over-0.35,0.35,297,0.30614035087719305,0.40350877192982454,0.5008771929824561,57,0.38596491228070173,0.43859649122807015,1.0
1,ranges,node_55,realized,Balanced Acceptance,Over-0.35,0.35,310,0.3157894736842105,0.40350877192982454,0.47368421052631576,57,0.38596491228070173,0.40350877192982454,1.0
1,ranges,node_55,realized,Balanced Acceptance,Over-0.35,0.35,324,0.3508771929824561,0.42105263157894735,0.5280701754385964,57,0.40350877192982454,0.43859649122807015,1.0
1,ranges,node_55,realized,Balanced Acceptance,Over-0.35,0.35,338,0.3508771929824561,0.42105263157894735,0.49122807017543857,57,0.40350877192982454,0.43859649122807015,1.0
1,ranges,node_55,realized,Balanced Acceptance,Over-0.35,0.35,351,0.3684210526315789,0.45614035087719296,0.5263157894736842,57,0.43859649122807015,0.45614035087719296,1.0
1,ranges,node_55,realized,Balanced Acceptance,Over-0.35,0.35,364,0.3587719298245614,0.4649122807017544,0.5535087719298245,57,0.43859649122807015,0.47368421052631576,1.0
1,ranges,node_55,realized,Balanced Acceptance,Over-0.35,0.35,378,0.3508771929824561,0.45614035087719296,0.543859649122807,57,0.42105263157894735,0.47368421052631576,1.0
1,ranges,node_55,realized,Balanced Acceptance,Over-0.35,0.35,392,0.40350877192982454,0.47368421052631576,0.5535087719298245,57,0.47368421052631576,0.49122807017543857,1.0
1,ranges,node_55,realized,Balanced Acceptance,Over-0.35,0.35,405,0.37631578947368427,0.4824561403508772,0.5789473684210527,57,0.45614035087719296,0.5087719298245614,1.0
1,ranges,node_55,realized,Balanced Acceptance,Over-0.30,0.3,1,0.0,0.0,0.017543859649122806,57,0.0,0.0,1.0
1,ranges,node_55,realized,Balanced Acceptance,Over-0.30,0.3,13,0.017543859649122806,0.03508771929824561,0.07982456140350873,57,0.03508771929824561,0.05263157894736842,1.0
1,ranges,node_55,realized,Balanced Acceptance,Over-0.30,0.3,26,0.017543859649122806,0.07017543859649122,0.10526315789473684,57,0.05263157894736842,0.07017543859649122,1.0
1,ranges,node_55,realized,Balanced Acceptance,Over-0.30,0.3,39,0.017543859649122806,0.07017543859649122,0.13245614035087713,57,0.07017543859649122,0.08771929824561403,1.0
1,ranges,node_55,realized,Balanced Acceptance,Over-0.30,0.3,52,0.03508771929824561,0.12280701754385964,0.15789473684210525,57,0.10526315789473684,0.12280701754385964,1.0
1,ranges,node_55,realized,Balanced Acceptance,Over-0.30,0.3,65,0.060526315789473685,0.12280701754385964,0.19298245614035087,57,0.12280701754385964,0.14035087719298245,1.0
