sim,sp,type,sampler,nbon,low,med,upp,deg
1,node_13,realized,BalancedAcceptance,206,0.05,0.1,0.25,20
1,node_13,realized,BalancedAcceptance,211,0.0,0.1,0.25,20
1,node_13,realized,BalancedAcceptance,216,0.02250000000000001,0.15,0.3,20
1,node_13,realized,BalancedAcceptance,221,0.0,0.15,0.3,20
1,node_13,realized,BalancedAcceptance,226,0.05,0.15,0.25,20
1,node_13,realized,BalancedAcceptance,231,0.05,0.15,0.2,20
1,node_13,realized,BalancedAcceptance,236,0.0,0.15,0.25,20
1,node_13,realized,BalancedAcceptance,241,0.02250000000000001,0.15,0.25,20
1,node_13,realized,BalancedAcceptance,246,0.02250000000000001,0.1,0.25,20
1,node_13,realized,BalancedAcceptance,251,0.02250000000000001,0.15,0.3,20
1,node_13,realized,BalancedAcceptance,256,0.05,0.15,0.3,20
1,node_13,realized,BalancedAcceptance,261,0.02250000000000001,0.15,0.3,20
1,node_13,realized,BalancedAcceptance,266,0.02250000000000001,0.15,0.25,20
1,node_13,realized,BalancedAcceptance,271,0.05,0.15,0.25,20
1,node_13,realized,BalancedAcceptance,276,0.05,0.15,0.3,20
1,node_13,realized,BalancedAcceptance,281,0.05,0.2,0.3,20
1,node_13,realized,BalancedAcceptance,286,0.05,0.15,0.3,20
1,node_13,realized,BalancedAcceptance,291,0.05,0.15,0.32749999999999985,20
1,node_13,realized,BalancedAcceptance,296,0.07250000000000001,0.15,0.3,20
1,node_13,realized,BalancedAcceptance,301,0.05,0.15,0.35,20
1,node_13,realized,BalancedAcceptance,306,0.02250000000000001,0.15,0.3,20
1,node_13,realized,BalancedAcceptance,311,0.05,0.2,0.35,20
1,node_13,realized,BalancedAcceptance,316,0.1,0.2,0.32749999999999985,20
1,node_13,realized,BalancedAcceptance,321,0.05,0.2,0.35,20
1,node_13,realized,BalancedAcceptance,326,0.05,0.2,0.3549999999999997,20
1,node_13,realized,BalancedAcceptance,331,0.07250000000000001,0.2,0.35,20
1,node_13,realized,BalancedAcceptance,336,0.05,0.2,0.35,20
1,node_13,realized,BalancedAcceptance,341,0.05,0.2,0.35,20
1,node_13,realized,BalancedAcceptance,346,0.07250000000000001,0.2,0.37749999999999984,20
1,node_13,realized,BalancedAcceptance,351,0.05,0.2,0.3,20
1,node_13,realized,BalancedAcceptance,356,0.07250000000000001,0.2,0.4,20
1,node_13,realized,BalancedAcceptance,361,0.1,0.2,0.3,20
1,node_13,realized,BalancedAcceptance,366,0.1,0.2,0.35,20
1,node_13,realized,BalancedAcceptance,371,0.1,0.25,0.37749999999999984,20
1,node_13,realized,BalancedAcceptance,376,0.1,0.175,0.3,20
1,node_13,realized,BalancedAcceptance,381,0.05,0.2,0.35,20
1,node_13,realized,BalancedAcceptance,386,0.07250000000000001,0.2,0.35,20
1,node_13,realized,BalancedAcceptance,391,0.1,0.2,0.35,20
1,node_13,realized,BalancedAcceptance,396,0.1,0.225,0.35,20
1,node_13,realized,BalancedAcceptance,401,0.1,0.25,0.4,20
1,node_13,realized,BalancedAcceptance,406,0.1,0.25,0.37749999999999984,20
1,node_13,realized,BalancedAcceptance,411,0.1,0.225,0.55,20
1,node_13,realized,BalancedAcceptance,416,0.1,0.25,0.4,20
1,node_13,realized,BalancedAcceptance,421,0.15,0.25,0.37749999999999984,20
1,node_13,realized,BalancedAcceptance,426,0.1,0.25,0.35,20
1,node_13,realized,BalancedAcceptance,431,0.1,0.2,0.35,20
1,node_13,realized,BalancedAcceptance,436,0.1,0.25,0.37749999999999984,20
1,node_13,realized,BalancedAcceptance,441,0.09500000000000001,0.25,0.4274999999999999,20
1,node_13,realized,BalancedAcceptance,446,0.1,0.25,0.37749999999999984,20
1,node_13,realized,BalancedAcceptance,451,0.15,0.25,0.4,20
1,node_13,realized,BalancedAcceptance,456,0.1,0.25,0.4,20
1,node_13,realized,BalancedAcceptance,461,0.1,0.25,0.4274999999999999,20
1,node_13,realized,BalancedAcceptance,466,0.15,0.25,0.4,20
1,node_13,realized,BalancedAcceptance,471,0.12250000000000001,0.25,0.4274999999999999,20
1,node_13,realized,BalancedAcceptance,476,0.15,0.275,0.4274999999999999,20
1,node_13,realized,BalancedAcceptance,481,0.15,0.25,0.5,20
1,node_13,realized,BalancedAcceptance,486,0.15,0.25,0.4,20
1,node_13,realized,BalancedAcceptance,491,0.12250000000000001,0.25,0.37749999999999984,20
1,node_13,realized,BalancedAcceptance,496,0.15,0.275,0.45,20
1,node_5,realized,BalancedAcceptance,1,0.0,0.0,0.0,6
1,node_5,realized,BalancedAcceptance,6,0.0,0.0,0.0,6
1,node_5,realized,BalancedAcceptance,11,0.0,0.0,0.0,6
1,node_5,realized,BalancedAcceptance,16,0.0,0.0,0.0,6
1,node_5,realized,BalancedAcceptance,21,0.0,0.0,0.0,6
1,node_5,realized,BalancedAcceptance,26,0.0,0.0,0.16666666666666666,6
1,node_5,realized,BalancedAcceptance,31,0.0,0.0,0.0,6
1,node_5,realized,BalancedAcceptance,36,0.0,0.0,0.09166666666666619,6
1,node_5,realized,BalancedAcceptance,41,0.0,0.0,0.0,6
1,node_5,realized,BalancedAcceptance,46,0.0,0.0,0.0,6
1,node_5,realized,BalancedAcceptance,51,0.0,0.0,0.16666666666666666,6
1,node_5,realized,BalancedAcceptance,56,0.0,0.0,0.16666666666666666,6
1,node_5,realized,BalancedAcceptance,61,0.0,0.0,0.09166666666666619,6
1,node_5,realized,BalancedAcceptance,66,0.0,0.0,0.16666666666666666,6
1,node_5,realized,BalancedAcceptance,71,0.0,0.0,0.09166666666666619,6
1,node_5,realized,BalancedAcceptance,76,0.0,0.0,0.0,6
1,node_5,realized,BalancedAcceptance,81,0.0,0.0,0.16666666666666666,6
1,node_5,realized,BalancedAcceptance,86,0.0,0.0,0.16666666666666666,6
1,node_5,realized,BalancedAcceptance,91,0.0,0.0,0.16666666666666666,6
1,node_5,realized,BalancedAcceptance,96,0.0,0.0,0.09166666666666619,6
1,node_5,realized,BalancedAcceptance,101,0.0,0.0,0.16666666666666666,6
1,node_5,realized,BalancedAcceptance,106,0.0,0.0,0.16666666666666666,6
1,node_5,realized,BalancedAcceptance,111,0.0,0.0,0.16666666666666666,6
1,node_5,realized,BalancedAcceptance,116,0.0,0.0,0.16666666666666666,6
1,node_5,realized,BalancedAcceptance,121,0.0,0.0,0.16666666666666666,6
1,node_5,realized,BalancedAcceptance,126,0.0,0.0,0.16666666666666666,6
1,node_5,realized,BalancedAcceptance,131,0.0,0.0,0.16666666666666666,6
1,node_5,realized,BalancedAcceptance,136,0.0,0.0,0.16666666666666666,6
1,node_5,realized,BalancedAcceptance,141,0.0,0.0,0.25833333333333286,6
1,node_5,realized,BalancedAcceptance,146,0.0,0.0,0.16666666666666666,6
1,node_5,realized,BalancedAcceptance,151,0.0,0.0,0.16666666666666666,6
1,node_5,realized,BalancedAcceptance,156,0.0,0.0,0.16666666666666666,6
1,node_5,realized,BalancedAcceptance,161,0.0,0.0,0.16666666666666666,6
1,node_5,realized,BalancedAcceptance,166,0.0,0.0,0.3333333333333333,6
