sim,set,variable,offset,eff,eff_low,eff_upp,occ
10,ranges,Under-0.25,-0.25,8876.592334977346,8827.139932596336,8931.99552629713,0.2727
10,ranges,Under-0.30,-0.3,8825.459701781176,8774.081878616367,8871.7295722005,0.2727
10,ranges,Under-0.35,-0.35,8711.723170986672,8663.673270884945,8768.839777599183,0.2727
10,ranges,Under-0.40,-0.4,8621.842049007895,8561.037093264742,8695.258920213533,0.2727
10,ranges,Under-0.45,-0.45,8530.821468969474,8470.912081732862,8592.69448981059,0.2727
10,ranges,Under-0.50,-0.5,8434.866308333623,8373.981794044048,8493.869560688552,0.2727
11,ranges,Over-0.50,0.5,8030.089006672521,7914.416134958581,8108.567452386307,0.5066
11,ranges,Over-0.45,0.45,8019.781718400448,7933.156998971643,8130.888268365829,0.5066
11,ranges,Over-0.40,0.4,8032.659342687151,7922.463662794329,8106.074538689855,0.5066
11,ranges,Over-0.35,0.35,8024.940552937397,7930.4875954161,8111.057798983437,0.5066
11,ranges,Over-0.30,0.3,8027.516077016823,7927.81557192898,8116.030794593396,0.5066
11,ranges,Over-0.25,0.25,8037.792236947498,7957.0638344419585,8108.567452386307,0.5066
11,ranges,Over-0.20,0.2,8006.839175773132,7922.463662794329,8123.471058086493,0.5066
11,ranges,Over-0.15,0.15,8019.781718400448,7935.823783193603,8096.0771945152055,0.5066
11,ranges,Over-0.10,0.1,8012.023989124034,7930.4875954161,8096.0771945152055,0.5066
11,ranges,Over-0.05,0.05,8045.4721458678405,7941.1494960549235,8120.993532990015,0.5066
11,ranges,True-0.00,0.0,8032.659342687151,7909.038000310527,8118.513445473807,0.5066
11,ranges,Under-0.05,-0.05,7954.417982735113,7862.899567316889,8055.675784440832,0.5066
11,ranges,Under-0.10,-0.1,7917.101266889086,7840.924197705139,8009.432882332962,0.5066
11,ranges,Under-0.15,-0.15,7843.680342656242,7765.510406829547,7935.823783193603,0.5066
11,ranges,Under-0.20,-0.2,7768.337868341657,7682.362293660428,7860.16186680526,0.5066
11,ranges,Under-0.25,-0.25,7699.748136671077,7576.0434042566185,7813.217667302833,0.5066
11,ranges,Under-0.30,-0.3,7635.533540512183,7515.493867709676,7737.0902390784295,0.5066
11,ranges,Under-0.35,-0.35,7573.041076664206,7453.886872717831,7667.801204519737,0.5066
11,ranges,Under-0.40,-0.4,7460.095078612666,7337.137589725942,7530.730484016874,0.5066
11,ranges,Under-0.45,-0.45,7269.280703614539,7143.588486002251,7413.276686339383,0.5066
11,ranges,Under-0.50,-0.5,7160.339096053909,7038.315411494463,7279.044830362613,0.5066
12,ranges,Over-0.30,0.3,6358.042696530727,6189.952906628245,6518.546058309004,0.7928
12,ranges,Over-0.25,0.25,6303.7212081548205,6146.374362385748,6503.423252504172,0.7928
12,ranges,Over-0.20,0.2,6299.825876968131,6074.57890790981,6461.656069444047,0.7928
12,ranges,Over-0.15,0.15,6229.369359818902,6086.58586990125,6454.033977883044,0.7928
12,ranges,Over-0.10,0.1,6307.614524279183,6110.550852931599,6476.8744375389815,0.7928
12,ranges,Over-0.05,0.05,6303.7212081548205,6126.490909553006,6492.058223440699,0.7928
12,ranges,True-0.00,0.0,6295.928534202609,6114.5386258858125,6499.637087863746,0.7928
12,ranges,Under-0.05,-0.05,6201.798067538421,6022.363320996945,6404.282548858508,0.7928
12,ranges,Under-0.10,-0.1,6189.952906628245,5933.33239067296,6369.630730233288,0.7928
12,ranges,Under-0.15,-0.15,6054.531428965507,5863.986929354869,6217.564700881267,0.7928
12,ranges,Under-0.20,-0.2,5908.910802929953,5736.379702454171,6102.569813184491,0.7928
12,ranges,Under-0.25,-0.25,5827.08923860607,5561.33379622041,5994.124650869053,0.7928
12,ranges,Under-0.30,-0.3,5632.465444051559,5405.338277212995,5835.29956211472,0.7928
12,ranges,Under-0.35,-0.35,5456.097427943616,5273.555213957596,5711.518732694589,0.7928
12,ranges,Under-0.40,-0.4,5183.8114320925815,5012.034190366801,5468.763199513731,0.7928
12,ranges,Under-0.45,-0.45,4943.084479740712,4761.6851369233045,5358.680015250524,0.7928
12,ranges,Under-0.50,-0.5,4662.223860013088,4441.829923323567,5067.965557913783,0.7928
13,ranges,Over-0.50,0.5,7827.103915290292,7737.0902390784295,7906.344996476482,0.4207
13,ranges,Over-0.45,0.45,7835.403997488412,7748.490069609664,7927.81557192898,0.4207
13,ranges,Over-0.40,0.4,7813.217667302833,7754.174101366165,7909.038000310527,0.4207
13,ranges,Over-0.35,0.35,7832.639941405482,7722.780871174416,7906.344996476482,0.4207
13,ranges,Over-0.30,0.3,7838.1654161196975,7739.944168114297,7917.101266889086,0.4207
13,ranges,Over-0.25,0.25,7813.217667302833,7717.038583456139,7898.250232347988,0.4207
13,ranges,Over-0.20,0.2,7802.061142408311,7714.163465973243,7900.951113037339,0.4207
13,ranges,Over-0.15,0.15,7813.217667302833,7702.636501883577,7895.5467249649355,0.4207
13,ranges,Over-0.10,0.1,7804.854235588245,7714.163465973243,7911.728379619369,0.4207
13,ranges,Over-0.05,0.05,7810.432497690742,7731.374437013265,7909.038000310527,0.4207
13,ranges,True-0.00,0.0,7816.000196424972,7696.857121544688,7909.038000310527,0.4207
