ns,nsites,C_exp,ra_sigma,ra_scaling,energy_NFL,H_nlm,nbon,prop_observed_sp,prop_detected_int,prop_realized_int,prop_possible_int
100,100,0.1,1.2,50.0,1000,0.75,25,0.98,0.0,0.0,0.839
100,100,0.2,1.2,50.0,1000,0.75,25,0.99,0.0,0.00451,0.891
100,100,0.3,1.2,50.0,1000,0.75,25,1.0,0.0021,0.00629,0.863
100,100,0.1,1.8,50.0,1000,0.75,25,1.0,0.0,0.0153,0.921
100,100,0.2,1.8,50.0,1000,0.75,25,0.99,0.0,0.00917,0.934
100,100,0.3,1.8,50.0,1000,0.75,25,0.99,0.0,0.00249,0.927
100,100,0.1,0.6,75.0,1000,0.75,25,1.0,0.00237,0.00474,0.912
100,100,0.2,0.6,75.0,1000,0.75,25,0.99,0.00164,0.00164,0.9
100,100,0.3,0.6,75.0,1000,0.75,25,1.0,0.0,0.00426,0.928
100,100,0.1,1.2,75.0,1000,0.75,25,0.98,0.00791,0.00791,0.894
100,100,0.2,1.2,75.0,1000,0.75,25,0.97,0.0,0.0046,0.9
100,100,0.3,1.2,75.0,1000,0.75,25,1.0,0.00218,0.00873,0.92
100,100,0.1,1.8,75.0,1000,0.75,25,0.99,0.0,0.00763,0.939
100,100,0.2,1.8,75.0,1000,0.75,25,0.99,0.00339,0.00678,0.926
100,100,0.3,1.8,75.0,1000,0.75,25,1.0,0.00585,0.00585,0.909
100,100,0.1,0.6,25.0,10000,0.75,25,0.99,0.00229,0.0161,0.918
100,100,0.2,0.6,25.0,10000,0.75,25,0.98,0.00383,0.0147,0.904
100,100,0.3,0.6,25.0,10000,0.75,25,0.99,0.00107,0.0139,0.88
100,100,0.1,1.2,25.0,10000,0.75,25,1.0,0.0077,0.0401,0.9
100,100,0.2,1.2,25.0,10000,0.75,25,1.0,0.000867,0.0165,0.942
100,100,0.3,1.2,25.0,10000,0.75,25,1.0,0.00119,0.00835,0.909
100,100,0.1,1.8,25.0,10000,0.75,25,0.99,0.00833,0.0317,0.938
100,100,0.2,1.8,25.0,10000,0.75,25,1.0,0.011,0.0408,0.935
100,100,0.3,1.8,25.0,10000,0.75,25,1.0,0.00327,0.0163,0.958
100,100,0.1,0.6,50.0,10000,0.75,25,1.0,0.00349,0.0279,0.942
100,100,0.2,0.6,50.0,10000,0.75,25,0.98,0.00332,0.0213,0.877
100,100,0.3,0.6,50.0,10000,0.75,25,0.99,0.000451,0.0122,0.892
100,100,0.1,1.2,50.0,10000,0.75,25,0.99,0.01,0.0334,0.89
100,100,0.2,1.2,50.0,10000,0.75,25,1.0,0.0106,0.0297,0.956
100,100,0.3,1.2,50.0,10000,0.75,25,1.0,0.0047,0.0141,0.923
100,100,0.1,1.8,50.0,10000,0.75,25,1.0,0.0132,0.0428,0.906
100,100,0.2,1.8,50.0,10000,0.75,25,0.99,0.0213,0.032,0.894
100,100,0.3,1.8,50.0,10000,0.75,25,1.0,0.0119,0.0228,0.919
100,100,0.1,0.6,75.0,10000,0.75,25,0.99,0.00519,0.0221,0.886
100,100,0.2,0.6,75.0,10000,0.75,25,0.99,0.00351,0.0133,0.862
100,100,0.3,0.6,75.0,10000,0.75,25,0.98,0.00379,0.00994,0.871
100,100,0.1,1.2,75.0,10000,0.75,25,0.99,0.0168,0.0291,0.903
100,100,0.2,1.2,75.0,10000,0.75,25,0.98,0.00741,0.0195,0.888
100,100,0.3,1.2,75.0,10000,0.75,25,1.0,0.00929,0.0159,0.934
100,100,0.1,1.8,75.0,10000,0.75,25,0.99,0.0217,0.0335,0.915
100,100,0.2,1.8,75.0,10000,0.75,25,0.99,0.0116,0.0186,0.87
100,100,0.3,1.8,75.0,10000,0.75,25,0.99,0.0117,0.0193,0.89
100,100,0.1,0.6,25.0,100000,0.75,25,0.97,0.0199,0.193,0.883
100,100,0.2,0.6,25.0,100000,0.75,25,1.0,0.0097,0.0929,0.93
100,100,0.3,0.6,25.0,100000,0.75,25,0.99,0.00621,0.0762,0.909
100,100,0.1,1.2,25.0,100000,0.75,25,0.97,0.0317,0.132,0.888
100,100,0.2,1.2,25.0,100000,0.75,25,1.0,0.0114,0.0986,0.91
100,100,0.3,1.2,25.0,100000,0.75,25,0.98,0.0118,0.0766,0.94
100,100,0.1,1.8,25.0,100000,0.75,25,1.0,0.0333,0.135,0.875
100,100,0.2,1.8,25.0,100000,0.75,25,0.98,0.0243,0.0828,0.836
100,100,0.3,1.8,25.0,100000,0.75,25,1.0,0.0159,0.081,0.934
100,100,0.1,0.6,50.0,100000,0.75,25,0.99,0.0544,0.194,0.917
100,100,0.2,0.6,50.0,100000,0.75,25,0.99,0.023,0.105,0.885
100,100,0.3,0.6,50.0,100000,0.75,25,1.0,0.0155,0.079,0.915
100,100,0.1,1.2,50.0,100000,0.75,25,1.0,0.0395,0.122,0.963
100,100,0.2,1.2,50.0,100000,0.75,25,0.99,0.033,0.107,0.881
100,100,0.3,1.2,50.0,100000,0.75,25,0.99,0.0243,0.0642,0.933
100,100,0.1,1.8,50.0,100000,0.75,25,0.99,0.0687,0.167,0.887
100,100,0.2,1.8,50.0,100000,0.75,25,0.99,0.0315,0.0891,0.886
100,100,0.3,1.8,50.0,100000,0.75,25,0.99,0.0204,0.0713,0.923
100,100,0.1,0.6,75.0,100000,0.75,25,0.99,0.0712,0.186,0.929
100,100,0.2,0.6,75.0,100000,0.75,25,1.0,0.0404,0.107,0.952
100,100,0.3,0.6,75.0,100000,0.75,25,0.98,0.0237,0.0717,0.925
100,100,0.1,1.2,75.0,100000,0.75,25,1.0,0.0995,0.175,0.891
100,100,0.2,1.2,75.0,100000,0.75,25,0.99,0.0447,0.0833,0.915
100,100,0.3,1.2,75.0,100000,0.75,25,0.99,0.0391,0.082,0.917
100,100,0.1,1.8,75.0,100000,0.75,25,1.0,0.0453,0.0945,0.879
100,100,0.2,1.8,75.0,100000,0.75,25,0.99,0.0478,0.0957,0.888
100,100,0.3,1.8,75.0,100000,0.75,25,1.0,0.0467,0.0907,0.917
100,100,0.1,0.6,25.0,1000,0.25,50,1.0,0.00418,0.00837,0.993
100,100,0.2,0.6,25.0,1000,0.25,50,1.0,0.0,0.00496,0.965
100,100,0.3,0.6,25.0,1000,0.25,50,1.0,0.00145,0.00434,0.959
100,100,0.1,1.2,25.0,1000,0.25,50,1.0,0.0076,0.019,0.947
100,100,0.2,1.2,25.0,1000,0.25,50,1.0,0.0,0.00973,0.966
100,100,0.3,1.2,25.0,1000,0.25,50,1.0,0.00204,0.00612,0.951
100,100,0.1,1.8,25.0,1000,0.25,50,1.0,0.00455,0.0182,0.963
100,100,0.2,1.8,25.0,1000,0.25,50,1.0,0.015,0.0262,0.961
100,100,0.3,1.8,25.0,1000,0.25,50,0.99,0.00901,0.021,0.949
100,100,0.1,0.6,50.0,1000,0.25,50,1.0,0.00227,0.0068,0.94
100,100,0.2,0.6,50.0,1000,0.25,50,1.0,0.0,0.00675,0.965
100,100,0.3,0.6,50.0,1000,0.25,50,0.99,0.0029,0.00435,0.961
100,100,0.1,1.2,50.0,1000,0.25,50,1.0,0.0101,0.0201,0.974
100,100,0.2,1.2,50.0,1000,0.25,50,0.98,0.00703,0.0164,0.924
100,100,0.3,1.2,50.0,1000,0.25,50,0.99,0.00545,0.0109,0.932
100,100,0.1,1.8,50.0,1000,0.25,50,0.99,0.0108,0.0288,0.934
100,100,0.2,1.8,50.0,1000,0.25,50,1.0,0.00313,0.0157,0.967
100,100,0.3,1.8,50.0,1000,0.25,50,1.0,0.0104,0.0131,0.942
100,100,0.1,0.6,75.0,1000,0.25,50,1.0,0.00959,0.0192,0.974
100,100,0.2,0.6,75.0,1000,0.25,50,0.99,0.00179,0.0107,0.931
100,100,0.3,0.6,75.0,1000,0.25,50,1.0,0.00599,0.00898,0.942
100,100,0.1,1.2,75.0,1000,0.25,50,1.0,0.0,0.0109,0.964
100,100,0.2,1.2,75.0,1000,0.25,50,1.0,0.00326,0.00977,0.936
100,100,0.3,1.2,75.0,1000,0.25,50,1.0,0.00382,0.00574,0.956
100,100,0.1,1.8,75.0,1000,0.25,50,1.0,0.0347,0.0347,0.959
100,100,0.2,1.8,75.0,1000,0.25,50,1.0,0.00295,0.00885,0.945
100,100,0.3,1.8,75.0,1000,0.25,50,1.0,0.0143,0.0143,0.942
100,100,0.1,0.6,25.0,10000,0.25,50,1.0,0.00343,0.04,0.934
100,100,0.2,0.6,25.0,10000,0.25,50,1.0,0.00188,0.0301,0.947
100,100,0.3,0.6,25.0,10000,0.25,50,1.0,0.00181,0.0222,0.979
100,100,0.1,1.2,25.0,10000,0.25,50,1.0,0.0103,0.0663,0.96
100,100,0.2,1.2,25.0,10000,0.25,50,1.0,0.00654,0.042,0.928
100,100,0.3,1.2,25.0,10000,0.25,50,1.0,0.00744,0.0356,0.952
100,100,0.1,1.8,25.0,10000,0.25,50,1.0,0.00907,0.0544,0.952
100,100,0.2,1.8,25.0,10000,0.25,50,1.0,0.00956,0.0382,0.931
100,100,0.3,1.8,25.0,10000,0.25,50,0.97,0.00772,0.0324,0.925
100,100,0.1,0.6,50.0,10000,0.25,50,1.0,0.0128,0.0559,0.963
100,100,0.2,0.6,50.0,10000,0.25,50,1.0,0.00562,0.0267,0.955
100,100,0.3,0.6,50.0,10000,0.25,50,0.99,0.00594,0.0288,0.929
100,100,0.1,1.2,50.0,10000,0.25,50,0.99,0.00723,0.0462,0.923
100,100,0.2,1.2,50.0,10000,0.25,50,1.0,0.0107,0.036,0.953
100,100,0.3,1.2,50.0,10000,0.25,50,1.0,0.0145,0.0303,0.952
100,100,0.1,1.8,50.0,10000,0.25,50,1.0,0.0168,0.0606,0.96
100,100,0.2,1.8,50.0,10000,0.25,50,0.99,0.0269,0.0539,0.947
100,100,0.3,1.8,50.0,10000,0.25,50,1.0,0.0196,0.0372,0.963
100,100,0.1,0.6,75.0,10000,0.25,50,1.0,0.0156,0.0413,0.937
100,100,0.2,0.6,75.0,10000,0.25,50,1.0,0.0118,0.0353,0.94
100,100,0.3,0.6,75.0,10000,0.25,50,1.0,0.00703,0.022,0.949
100,100,0.1,1.2,75.0,10000,0.25,50,1.0,0.0244,0.0603,0.967
100,100,0.2,1.2,75.0,10000,0.25,50,1.0,0.0167,0.0397,0.942
100,100,0.3,1.2,75.0,10000,0.25,50,1.0,0.0178,0.0311,0.959
100,100,0.1,1.8,75.0,10000,0.25,50,1.0,0.0392,0.0672,0.924
100,100,0.2,1.8,75.0,10000,0.25,50,0.99,0.0306,0.0525,0.912
100,100,0.3,1.8,75.0,10000,0.25,50,1.0,0.0337,0.0506,0.972
100,100,0.1,0.6,25.0,100000,0.25,50,1.0,0.0408,0.303,0.921
100,100,0.2,0.6,25.0,100000,0.25,50,1.0,0.0197,0.22,0.942
100,100,0.3,0.6,25.0,100000,0.25,50,1.0,0.00986,0.155,0.96
100,100,0.1,1.2,25.0,100000,0.25,50,0.99,0.0365,0.183,0.966
100,100,0.2,1.2,25.0,100000,0.25,50,1.0,0.0214,0.123,0.954
100,100,0.3,1.2,25.0,100000,0.25,50,1.0,0.021,0.134,0.944
100,100,0.1,1.8,25.0,100000,0.25,50,1.0,0.0293,0.117,0.936
100,100,0.2,1.8,25.0,100000,0.25,50,0.99,0.0272,0.13,0.941
100,100,0.3,1.8,25.0,100000,0.25,50,1.0,0.0231,0.122,0.952
100,100,0.1,0.6,50.0,100000,0.25,50,1.0,0.0809,0.288,0.935
100,100,0.2,0.6,50.0,100000,0.25,50,0.98,0.046,0.217,0.918
100,100,0.3,0.6,50.0,100000,0.25,50,1.0,0.0295,0.129,0.978
100,100,0.1,1.2,50.0,100000,0.25,50,1.0,0.0555,0.219,0.933
100,100,0.2,1.2,50.0,100000,0.25,50,0.99,0.0463,0.148,0.916
100,100,0.3,1.2,50.0,100000,0.25,50,1.0,0.0384,0.12,0.97
100,100,0.1,1.8,50.0,100000,0.25,50,1.0,0.0615,0.208,0.955
100,100,0.2,1.8,50.0,100000,0.25,50,0.99,0.0353,0.14,0.907
100,100,0.3,1.8,50.0,100000,0.25,50,1.0,0.0466,0.121,0.976
100,100,0.1,0.6,75.0,100000,0.25,50,1.0,0.112,0.322,0.977
100,100,0.2,0.6,75.0,100000,0.25,50,1.0,0.0699,0.182,0.963
100,100,0.3,0.6,75.0,100000,0.25,50,1.0,0.0541,0.144,0.971
100,100,0.1,1.2,75.0,100000,0.25,50,0.99,0.0956,0.238,0.928
100,100,0.2,1.2,75.0,100000,0.25,50,1.0,0.0694,0.164,0.979
100,100,0.3,1.2,75.0,100000,0.25,50,1.0,0.0584,0.12,0.96
100,100,0.1,1.8,75.0,100000,0.25,50,1.0,0.0495,0.162,0.94
