nbon,nrep,refmethod,βos_low_realized,βos_upp_possible,βos_detected,βos_upp_realized,βos_possible,βos_realized,βos_med_realized,βos_upp_detected,βos_med_possible,βos_low_possible,βos_med_detected,βos_low_detected
57,16,metawebify,0.980939803423708,0.651870897772537,0.8878005342831701,0.9973624001803365,0.0076045627376425855,0.6892430278884463,0.9906103286384976,1.0,0.5508412582297001,0.4357308908227877,0.998114985862394,0.9906103286384976
57,17,metawebify,0.9847602535351061,0.7508209538702111,0.9047619047619048,0.9982158786797503,0.04672897196261682,0.7934347477982386,0.9928825622775801,1.0,0.6290909090909091,0.5149667243249583,0.9964349376114082,0.9911111111111112
57,18,metawebify,0.9839682679151969,0.7158020989505247,0.8932270916334661,0.9983179142136249,0.03125,0.7586972612879349,0.991617770326907,1.0,0.6229508196721312,0.5470778595598021,0.9949622166246851,0.9906169573769938
57,19,metawebify,0.9854604200323102,0.7015248988968388,0.8951426368542791,0.9977246339482079,0.014444903012794058,0.769618430525558,0.9918962722852512,1.0,0.6171052631578947,0.4233232790852034,0.9967506092607636,0.9909285493999305
57,20,metawebify,0.9857924944209757,0.704242617848961,0.9140127388535032,0.9966777408637874,0.024286322965487855,0.8061607813673929,0.9933665008291874,0.999334995843724,0.6091030789825971,0.5151949183167441,0.9966777408637874,0.9923755978461737
58,1,metawebify,0.9848357203032856,0.7098293429926081,0.8848,0.9966101694915255,0.015955153083225527,0.693745506829619,0.9915469146238377,1.0,0.6092896174863388,0.47340245265913594,0.998303647158609,0.9932318104906938
58,2,metawebify,0.9830651894067215,0.7539614145584344,0.8973262032085562,0.9977477477477478,0.0447585394581861,0.7426326129666012,0.9910213243546577,1.0,0.6579453733473433,0.566342483291178,0.9955005624296963,0.9897378745099223
58,3,metawebify,0.9847093885806695,0.7676862371070982,0.8864406779661017,0.9992369838420108,0.04018691588785047,0.7879518072289157,0.9919467074949992,1.0,0.6183225352246673,0.4949630624580255,0.9964125560538116,0.9892761394101877
58,4,metawebify,0.9846743295019157,0.7761890915499163,0.8836363636363637,0.9991803278688525,0.02422145328719723,0.7544453852667231,0.9923076923076923,1.0,0.6682867061466204,0.5434542228984066,0.9961464354527938,0.9912072341683293
58,5,metawebify,0.9830467134250517,0.6973401053450554,0.8835680751173709,0.99800796812749,0.02399183256763655,0.7705207413945278,0.9900793650793651,1.0,0.6073717948717948,0.4885168744786286,0.9950278428928914,0.9881070366699702
58,6,metawebify,0.9820359281437125,0.7154753311060733,0.8630393996247655,0.9971345156365328,0.04471330878485008,0.6675062972292192,0.9909779438515949,1.0,0.550956894028103,0.4417998796649619,0.9979879275653923,0.9919759277833501
58,7,metawebify,0.9829706717123936,0.7211240892234371,0.8848920863309353,0.998093422306959,0.012071463061323033,0.7180327868852459,0.9905033238366572,1.0,0.6055436249486592,0.47991533386665286,0.9961904761904762,0.9905033238366572
58,8,metawebify,0.9847637260706532,0.6846728336133996,0.8757346767422334,0.9974521638761927,0.015916325602546612,0.7576711250983478,0.9910873440285205,1.0,0.5660756127094455,0.38695578241173817,0.9955341184731266,0.9893143365983972
58,9,metawebify,0.983440662373505,0.7197762654568098,0.844311377245509,0.9962962962962963,0.0165016501650165,0.6963021243115657,0.9907663896583564,1.0,0.5823855341988767,0.4583000409364687,0.9962962962962963,0.988929889298893
58,10,metawebify,0.9850947758093151,0.75448055568982,0.8891645988420182,0.9975078617795153,0.0242152466367713,0.7329286798179059,0.99128160418483,1.0,0.6101533690498673,0.3885584981958856,0.9965034965034965,0.99128160418483
58,11,metawebify,0.986946486382132,0.6804735972126736,0.9168744804655029,0.999263431542461,0.022163120567375887,0.7945525291828793,0.993085566119274,1.0,0.5908936008186383,0.4618541147784381,0.9965367965367965,0.9913644214162349
58,12,metawebify,0.9832290775949636,0.6891776485873069,0.8725761772853186,0.9980295566502463,0.021662468513853905,0.7244897959183674,0.9921414538310412,1.0,0.5912124849939976,0.4969845770460922,0.9960629921259843,0.9921414538310412
58,13,metawebify,0.9840488960237397,0.7620843375080661,0.9158249158249159,0.9974991143354436,0.030797101449275364,0.7507692307692307,0.9912510936132983,1.0,0.6374176992698584,0.5379664945449059,0.9964912280701754,0.991992145902953
58,14,metawebify,0.9849509033778476,0.6737890024483288,0.8740679370339686,0.9964695498676082,0.008470798038341507,0.7320061255742726,0.9911971830985915,1.0,0.5594639221121435,0.4152533713310602,0.9955892722883014,0.9911971830985915
58,15,metawebify,0.979381443298969,0.7280664581223897,0.889763779527559,0.9958419958419958,0.030042918454935622,0.7127564674397859,0.9896373056994818,1.0,0.6278227267238257,0.4606941642901857,0.9958419958419958,0.991701244813278
58,16,metawebify,0.9852486225457042,0.7243038116991245,0.8733766233766234,0.9975337407690348,0.030357142857142857,0.7551330798479088,0.99137187230371,1.0,0.6050077302773953,0.45385841241354663,0.9965397923875432,0.99137187230371
58,17,metawebify,0.9847764034253093,0.652931854199683,0.8826714801444043,0.9961722488038277,0.025565388397246803,0.7098360655737705,0.9904580152671756,1.0,0.5326965466568699,0.4048359511628899,0.9961722488038277,0.9912659853306796
58,18,metawebify,0.9840478564307079,0.7289313640312771,0.8685446009389671,0.9979919678714859,0.013754457463066735,0.7244367417677643,0.99,1.0,0.6035455278001611,0.4847454549909891,0.995987963891675,0.99
58,19,metawebify,0.9856616514004759,0.6778298001598722,0.8816143497757848,0.9961941008563273,0.015980629539951573,0.7512520868113522,0.9924026590693258,1.0,0.5633391691000871,0.45678132269055177,0.9961941008563273,0.9924026590693258
58,20,metawebify,0.9839359803291808,0.6677165354330709,0.8843416370106761,0.9962299717247879,0.01826923076923077,0.7135922330097088,0.9906015037593985,1.0,0.5636768465173574,0.47844469571565773,0.9962299717247879,0.9906015037593985
59,1,metawebify,0.9866555462885738,0.7651221553107723,0.9240710823909531,0.9983221476510067,0.035652173913043476,0.7605321507760532,0.9933054393305439,1.0,0.6507276507276507,0.5132231628605819,0.9983221476510067,0.9931400312599789
59,2,metawebify,0.9848628192999054,0.7600181008075745,0.8935018050541517,0.9972397263377284,0.053741838272225013,0.7353184449958643,0.9924026590693258,1.0,0.6703821656050956,0.5665971356262762,0.9961941008563273,0.991362980262411
59,3,metawebify,0.9863130881094953,0.8195488634131971,0.8939641109298532,0.9975056348721258,0.023809523809523808,0.7617602427921093,0.9914236706689536,1.0,0.6961285609934259,0.5235227280066306,0.9965606190885641,0.9914236706689536
59,4,metawebify,0.986902360458362,0.7016771091171616,0.9059515062454078,0.9977668610795787,0.010124610591900311,0.7634262406526172,0.9923195084485407,1.0,0.5759416767922235,0.47299909980544186,0.9969207082371054,0.9938508839354343
59,5,metawebify,0.9847718173236548,0.6989711799242988,0.8959537572254336,0.9979695431472081,0.008713480266529985,0.7809954751131222,0.9919028340080972,1.0,0.5974025974025974,0.40506353121600003,0.9959432048681541,0.9919028340080972
59,6,metawebify,0.9838077370940612,0.7458148249967445,0.8541996830427893,0.9965870307167235,0.024967148488830485,0.729490022172949,0.9914893617021276,1.0,0.581081081081081,0.4540933951009405,0.9965870307167235,0.9897959183673469
