sp,var,sampler,nbon,low,med,upp,deg
node_55,realized,SimpleRandom,316,12,17.0,18,57
node_55,realized,SimpleRandom,321,13,15.0,16,57
node_55,realized,SimpleRandom,326,12,16.0,17,57
node_55,realized,SimpleRandom,331,9,14.0,20,57
node_55,realized,SimpleRandom,336,15,17.0,22,57
node_55,realized,SimpleRandom,341,14,19.0,23,57
node_55,realized,SimpleRandom,346,11,17.0,20,57
node_55,realized,SimpleRandom,351,15,15.0,20,57
node_55,realized,SimpleRandom,356,12,19.0,20,57
node_55,realized,SimpleRandom,361,14,17.0,17,57
node_55,realized,SimpleRandom,366,15,17.0,20,57
node_55,realized,SimpleRandom,371,10,14.0,20,57
node_55,realized,SimpleRandom,376,13,18.0,20,57
node_55,realized,SimpleRandom,381,9,17.0,23,57
node_55,realized,SimpleRandom,386,6,18.0,23,57
node_55,realized,SimpleRandom,391,17,18.0,20,57
node_55,realized,SimpleRandom,396,18,19.0,20,57
node_55,realized,SimpleRandom,401,18,21.0,22,57
node_55,realized,SimpleRandom,406,16,18.0,20,57
node_55,realized,SimpleRandom,411,14,15.0,20,57
node_55,realized,SimpleRandom,416,13,18.0,23,57
node_55,realized,SimpleRandom,421,15,20.0,22,57
node_55,realized,SimpleRandom,426,17,19.0,23,57
node_55,realized,SimpleRandom,431,13,16.0,22,57
node_55,realized,SimpleRandom,436,16,19.0,20,57
node_55,realized,SimpleRandom,441,15,17.0,24,57
node_55,realized,SimpleRandom,446,17,22.0,23,57
node_55,realized,SimpleRandom,451,16,20.0,27,57
node_55,realized,SimpleRandom,456,17,20.0,24,57
node_55,realized,SimpleRandom,461,17,20.0,22,57
node_55,realized,SimpleRandom,466,15,19.0,25,57
node_55,realized,SimpleRandom,471,16,23.0,25,57
node_55,realized,SimpleRandom,476,20,22.0,24,57
node_55,realized,SimpleRandom,481,19,22.0,28,57
node_55,realized,SimpleRandom,486,19,19.0,21,57
node_55,realized,SimpleRandom,491,9,21.0,25,57
node_55,realized,SimpleRandom,496,17,18.0,22,57
