sim,set,variable,eff,occ
8,ranges,Under-0.12,7.089208920892089,0.4049
8,ranges,Under-0.14,7.121212121212122,0.4049
8,ranges,Under-0.16,7.159215921592159,0.4049
8,ranges,Under-0.18,7.155215521552156,0.4049
8,ranges,Under-0.2,7.0972097209720975,0.4049
8,ranges,Under-0.22,7.233223322332234,0.4049
8,ranges,Under-0.24,7.137213721372137,0.4049
8,ranges,Under-0.26,7.517251725172518,0.4049
8,ranges,Under-0.28,7.529252925292529,0.4049
8,ranges,Under-0.3,7.455245524552457,0.4049
9,ranges,Over-0.3,5.955095509550956,0.2472
9,ranges,Over-0.28,5.907090709070907,0.2472
9,ranges,Over-0.26,5.855085508550855,0.2472
9,ranges,Over-0.24,5.7950795079507955,0.2472
9,ranges,Over-0.22,5.747074707470747,0.2472
9,ranges,Over-0.2,5.713071307130713,0.2472
9,ranges,Over-0.18,5.651065106510651,0.2472
9,ranges,Over-0.16,5.591059105910592,0.2472
9,ranges,Over-0.14,5.533053305330533,0.2472
9,ranges,Over-0.12,5.475047504750474,0.2472
9,ranges,Over-0.1,5.405040504050405,0.2472
9,ranges,Over-0.08,5.3010301030103,0.2472
9,ranges,Over-0.06,5.187018701870187,0.2472
9,ranges,Over-0.04,5.071007100710072,0.2472
9,ranges,Over-0.02,4.952995299529954,0.2472
9,ranges,True-0.0,4.828982898289828,0.2472
9,ranges,Under-0.02,4.848984898489848,0.2472
9,ranges,Under-0.04,4.848984898489848,0.2472
9,ranges,Under-0.06,4.822982298229823,0.2472
9,ranges,Under-0.08,4.870987098709872,0.2472
9,ranges,Under-0.1,4.934993499349934,0.2472
9,ranges,Under-0.12,4.948994899489949,0.2472
9,ranges,Under-0.14,4.960996099609961,0.2472
9,ranges,Under-0.16,5.0590059005900585,0.2472
9,ranges,Under-0.18,5.0890089008900885,0.2472
9,ranges,Under-0.2,5.065006500650064,0.2472
9,ranges,Under-0.22,5.147014701470147,0.2472
9,ranges,Under-0.24,5.145014501450145,0.2472
9,ranges,Under-0.26,5.135013501350134,0.2472
9,ranges,Under-0.28,5.141014101410142,0.2472
9,ranges,Under-0.3,5.151015101510151,0.2472
10,ranges,Over-0.3,5.945094509450946,0.2727
10,ranges,Over-0.28,5.891089108910892,0.2727
10,ranges,Over-0.26,5.8070807080708065,0.2727
10,ranges,Over-0.24,5.755075507550755,0.2727
10,ranges,Over-0.22,5.6770677067706785,0.2727
10,ranges,Over-0.2,5.627062706270626,0.2727
10,ranges,Over-0.18,5.555055505550555,0.2727
10,ranges,Over-0.16,5.483048304830483,0.2727
10,ranges,Over-0.14,5.413041304130413,0.2727
10,ranges,Over-0.12,5.357035703570356,0.2727
10,ranges,Over-0.1,5.305030503050306,0.2727
10,ranges,Over-0.08,5.269026902690268,0.2727
10,ranges,Over-0.06,5.1930193019301925,0.2727
10,ranges,Over-0.04,5.131013101310131,0.2727
10,ranges,Over-0.02,5.037003700370038,0.2727
10,ranges,True-0.0,4.962996299629962,0.2727
10,ranges,Under-0.02,5.00100010001,0.2727
10,ranges,Under-0.04,5.011001100110011,0.2727
10,ranges,Under-0.06,5.033003300330032,0.2727
10,ranges,Under-0.08,5.167016701670166,0.2727
10,ranges,Under-0.1,5.16101610161016,0.2727
10,ranges,Under-0.12,5.149014901490149,0.2727
10,ranges,Under-0.14,5.143014301430142,0.2727
10,ranges,Under-0.16,5.183018301830183,0.2727
10,ranges,Under-0.18,5.289028902890289,0.2727
10,ranges,Under-0.2,5.393039303930394,0.2727
10,ranges,Under-0.22,5.629062906290629,0.2727
10,ranges,Under-0.24,5.86108610861086,0.2727
10,ranges,Under-0.26,6.90919091909191,0.2727
10,ranges,Under-0.28,7.539253925392539,0.2727
10,ranges,Under-0.3,8.093309330933094,0.2727
11,ranges,Over-0.3,6.71917191719172,0.5066
11,ranges,Over-0.28,6.703170317031704,0.5066
11,ranges,Over-0.26,6.68916891689169,0.5066
11,ranges,Over-0.24,6.6651665166516665,0.5066
11,ranges,Over-0.22,6.663166316631664,0.5066
11,ranges,Over-0.2,6.657165716571659,0.5066
11,ranges,Over-0.18,6.603160316031603,0.5066
11,ranges,Over-0.16,6.595159515951593,0.5066
11,ranges,Over-0.14,6.553155315531553,0.5066
11,ranges,Over-0.12,6.519151915191519,0.5066
11,ranges,Over-0.1,6.473147314731473,0.5066
11,ranges,Over-0.08,6.427142714271428,0.5066
11,ranges,Over-0.06,6.3631363136313634,0.5066
11,ranges,Over-0.04,6.31113111311131,0.5066
11,ranges,Over-0.02,6.225122512251225,0.5066
11,ranges,True-0.0,6.145114511451145,0.5066
11,ranges,Under-0.02,6.141114111411142,0.5066
11,ranges,Under-0.04,6.145114511451145,0.5066
11,ranges,Under-0.06,6.135113511351136,0.5066
11,ranges,Under-0.08,6.081108110811082,0.5066
11,ranges,Under-0.1,6.143114311431144,0.5066
11,ranges,Under-0.12,6.13111311131113,0.5066
11,ranges,Under-0.14,6.1271127112711286,0.5066
11,ranges,Under-0.16,6.059105910591057,0.5066
11,ranges,Under-0.18,6.045104510451045,0.5066
11,ranges,Under-0.2,6.043104310431042,0.5066
11,ranges,Under-0.22,6.067106710671067,0.5066
11,ranges,Under-0.24,6.029102910291028,0.5066
11,ranges,Under-0.26,6.071107110711071,0.5066
11,ranges,Under-0.28,6.121112111211123,0.5066
11,ranges,Under-0.3,6.221122112211221,0.5066
12,ranges,Over-0.3,7.3812381238123805,0.7928
12,ranges,Over-0.28,7.385238523852385,0.7928
12,ranges,Over-0.26,7.3932393239323915,0.7928
12,ranges,Over-0.24,7.391239123912392,0.7928
12,ranges,Over-0.22,7.367236723672368,0.7928
12,ranges,Over-0.2,7.383238323832384,0.7928
12,ranges,Over-0.18,7.367236723672368,0.7928
12,ranges,Over-0.16,7.343234323432344,0.7928
12,ranges,Over-0.14,7.343234323432344,0.7928
12,ranges,Over-0.12,7.317231723172317,0.7928
12,ranges,Over-0.1,7.315231523152315,0.7928
12,ranges,Over-0.08,7.295229522952296,0.7928
12,ranges,Over-0.06,7.267226722672267,0.7928
12,ranges,Over-0.04,7.237223722372237,0.7928
12,ranges,Over-0.02,7.20922092209221,0.7928
12,ranges,True-0.0,7.163216321632165,0.7928
