sim,set,variable,eff,occ
82,layers,Probabilistic range,7.269226922692269,0.4988
83,layers,Species richness,8.201320132013201,0.2803
83,layers,Realized interactions,3.1888188818881886,0.2803
83,layers,Focal species range,6.897189718971896,0.2803
83,layers,Probabilistic range,7.789278927892788,0.2803
84,layers,Species richness,4.442944294429443,0.5691
84,layers,Realized interactions,3.234823482348235,0.5691
84,layers,Focal species range,3.870887088708871,0.5691
84,layers,Probabilistic range,4.252925292529253,0.5691
85,layers,Species richness,7.721272127212721,0.1629
85,layers,Realized interactions,3.8208820882088212,0.1629
85,layers,Focal species range,6.163116311631162,0.1629
85,layers,Probabilistic range,7.237223722372237,0.1629
86,layers,Species richness,5.939093909390941,0.7534
86,layers,Realized interactions,4.038903890389038,0.7534
86,layers,Focal species range,5.655065506550656,0.7534
86,layers,Probabilistic range,5.841084108410842,0.7534
87,layers,Species richness,5.325032503250324,0.3123
87,layers,Realized interactions,3.476847684768477,0.3123
87,layers,Focal species range,4.2049204920492045,0.3123
87,layers,Probabilistic range,5.009000900090008,0.3123
88,layers,Species richness,6.243124312431243,0.797
88,layers,Realized interactions,3.9088908890889087,0.797
88,layers,Focal species range,6.019101910191019,0.797
88,layers,Probabilistic range,6.143114311431144,0.797
89,layers,Species richness,6.803180318031802,0.7591
89,layers,Realized interactions,4.106910691069107,0.7591
89,layers,Focal species range,6.525152515251524,0.7591
89,layers,Probabilistic range,6.621162116211622,0.7591
90,layers,Species richness,5.011001100110011,0.5994
90,layers,Realized interactions,3.8968896889688964,0.5994
90,layers,Focal species range,4.56095609560956,0.5994
90,layers,Probabilistic range,4.836983698369837,0.5994
91,layers,Species richness,6.26912691269127,0.4598
91,layers,Realized interactions,4.246924692469247,0.4598
91,layers,Focal species range,5.551055105510551,0.4598
91,layers,Probabilistic range,5.945094509450946,0.4598
92,layers,Species richness,4.178917891789178,0.8631
92,layers,Realized interactions,3.4228422842284223,0.8631
92,layers,Focal species range,4.036903690369037,0.8631
92,layers,Probabilistic range,4.094909490949094,0.8631
93,layers,Species richness,5.655065506550656,0.8216
93,layers,Realized interactions,3.6808680868086805,0.8216
93,layers,Focal species range,5.441044104410442,0.8216
93,layers,Probabilistic range,5.5530553055305525,0.8216
94,layers,Species richness,7.1452145214521465,0.5553
94,layers,Realized interactions,3.9188918891889193,0.5553
94,layers,Focal species range,6.577157715771577,0.5553
94,layers,Probabilistic range,6.847184718471849,0.5553
95,layers,Species richness,6.667166716671666,0.5171
95,layers,Realized interactions,4.010901090109011,0.5171
95,layers,Focal species range,6.0771077107710765,0.5171
95,layers,Probabilistic range,6.461146114611459,0.5171
96,layers,Species richness,5.897089708970897,0.7742
96,layers,Realized interactions,4.158915891589158,0.7742
96,layers,Focal species range,5.655065506550656,0.7742
96,layers,Probabilistic range,5.765076507650766,0.7742
97,layers,Species richness,5.2390239023902385,0.6093
97,layers,Realized interactions,4.052905290529053,0.6093
97,layers,Focal species range,4.820982098209821,0.6093
97,layers,Probabilistic range,5.047004700470048,0.6093
98,layers,Species richness,5.2390239023902385,0.626
98,layers,Realized interactions,3.8028802880288026,0.626
98,layers,Focal species range,4.772977297729772,0.626
98,layers,Probabilistic range,5.023002300230024,0.626
99,layers,Species richness,5.859085908590861,0.3851
99,layers,Realized interactions,4.242924292429242,0.3851
99,layers,Focal species range,5.067006700670067,0.3851
99,layers,Probabilistic range,5.555055505550555,0.3851
100,layers,Species richness,8.03930393039304,0.3831
100,layers,Realized interactions,3.4868486848684865,0.3831
100,layers,Focal species range,7.123212321232124,0.3831
100,layers,Probabilistic range,7.87928792879288,0.3831
