sim,variable,offset,eff,eff_low,eff_upp,rmse,deg,pmax,occ,set
3,Under-0.14,-0.14,1063.534066907497,1120.3068135798414,1009.6383399280174,0.01880611763696584,55,0.9818181818181818,0.3808,ranges
3,Under-0.16,-0.16,1080.6892025655816,1147.5221765420756,1011.6598395835953,0.020586879508711263,55,0.9636363636363636,0.3808,ranges
3,Under-0.18,-0.18,1076.3746491600991,1147.5221765420756,1007.6208796349791,0.02007942489708586,55,0.9454545454545454,0.3808,ranges
3,Under-0.20,-0.2,1063.534066907497,1127.0495366727275,999.5912709007819,0.020853132959801308,55,0.9454545454545454,0.3808,ranges
3,Under-0.22,-0.22,1048.7468632238995,1113.604429720705,1001.5926542971234,0.018409239241585242,55,0.9454545454545454,0.3808,ranges
3,Under-0.24,-0.24,1052.950673071839,1122.5498938475287,995.6004936155866,0.018461765009896627,55,0.9454545454545454,0.3808,ranges
3,Under-0.26,-0.26,1055.0588927568263,1115.8340904636702,987.6666738815171,0.018754485058072545,55,0.9454545454545454,0.3808,ranges
3,Under-0.28,-0.28,1036.2358658960702,1093.7369074081662,977.8382483394576,0.019523285243686007,55,0.9272727272727272,0.3808,ranges
3,Under-0.30,-0.3,1044.559836704651,1118.0682154372828,985.6931173925111,0.021862283273437984,55,0.9272727272727272,0.3808,ranges
3,Under-0.32,-0.32,1040.3895265081726,1102.5227778737278,987.6666738815171,0.018212541585585516,55,0.9272727272727272,0.3808,ranges
3,Under-0.34,-0.34,1046.6512562423432,1102.5227778737278,971.9882015370333,0.01786137583418078,55,0.9090909090909091,0.3808,ranges
3,Under-0.36,-0.36,1021.8282119336475,1087.1934815309905,971.9882015370333,0.01784519505221114,55,0.9090909090909091,0.3808,ranges
3,Under-0.38,-0.38,1067.797149964869,1127.0495366727275,1007.6208796349791,0.021401012113499766,55,0.8909090909090909,0.3808,ranges
3,Under-0.40,-0.4,1036.2358658960702,1098.121055903525,977.8382483394576,0.02073309595840175,55,0.8909090909090909,0.3808,ranges
3,Under-0.42,-0.42,1050.8466660334345,1118.0682154372828,1003.598044866814,0.02252351758025656,55,0.8727272727272727,0.3808,ranges
3,Under-0.44,-0.44,1032.0987883963885,1093.7369074081662,981.7578272218437,0.02137808145333581,55,0.8727272727272727,0.3808,ranges
3,Under-0.46,-0.46,1038.3106191648053,1102.5227778737278,979.7960777958643,0.021655400016396816,55,0.8727272727272727,0.3808,ranges
3,Under-0.48,-0.48,1063.534066907497,1120.3068135798414,1001.5926542971234,0.018265812731183623,55,0.8727272727272727,0.3808,ranges
3,Under-0.50,-0.5,1067.797149964869,1129.3061172324212,1013.6853866893298,0.019242047954361047,55,0.8545454545454545,0.3808,ranges
4,Over-0.18,0.18,2176.39316502527,2338.8893872054864,2061.9736251147856,0.013262627594357498,55,1.0,0.8611,ranges
4,Over-0.16,0.16,2172.044294128793,2329.5515839345203,2037.3753665468707,0.015268642318522494,55,1.0,0.8611,ranges
4,Over-0.14,0.14,2172.044294128793,2297.1618798009767,2033.3042811478053,0.011646852667557177,55,1.0,0.8611,ranges
4,Over-0.12,0.12,2120.5307155303403,2278.8560750417455,2013.0705522389674,0.011700652402843244,55,1.0,0.8611,ranges
4,Over-0.10,0.1,2099.428982730828,2242.680933271311,1977.1558925573843,0.012949326127797142,55,1.0,0.8611,ranges
4,Over-0.08,0.08,2061.9736251147856,2202.669855466197,1934.1291895537704,0.01301823330115802,55,1.0,0.8611,ranges
4,Over-0.06,0.06,2005.0335510493398,2163.3726047255527,1880.719457264302,0.010985002310072274,55,1.0,0.8611,ranges
4,Over-0.04,0.04,2005.0335510493398,2116.2934690336892,1876.961401852456,0.012618726297938922,55,1.0,0.8611,ranges
4,Over-0.02,0.02,1949.6658404686175,2070.23886559884,1862.004123802076,0.01297632452176316,55,1.0,0.8611,ranges
4,True-0.00,0.0,1934.1291895537704,2049.6375948635964,1810.586078765952,0.012677466947269787,55,1.0,0.8611,ranges
4,Under-0.02,-0.02,1911.0560477206668,2045.5420070682173,1796.1577376250393,0.01217052518580127,55,0.9818181818181818,0.8611,ranges
4,Under-0.04,-0.04,1926.4073545788144,2061.9736251147856,1810.586078765952,0.011251663673554525,55,0.9818181818181818,0.8611,ranges
4,Under-0.06,-0.06,1938.0017064104559,2066.102112324647,1792.5686535219659,0.013546893875402326,55,0.9818181818181818,0.8611,ranges
4,Under-0.08,-0.08,1892.0388301021935,2021.1397690431836,1781.8443741869382,0.01220320190706792,55,0.9818181818181818,0.8611,ranges
4,Under-0.10,-0.1,1938.0017064104559,2049.6375948635964,1821.4833440659354,0.013939597656283852,55,0.9818181818181818,0.8611,ranges
4,Under-0.12,-0.12,1930.2644107639635,2070.23886559884,1806.9681639378584,0.013612403808357739,55,0.9818181818181818,0.8611,ranges
4,Under-0.14,-0.14,1918.716348328076,2061.9736251147856,1803.3574784306215,0.012634692823446132,55,0.9818181818181818,0.8611,ranges
4,Under-0.16,-0.16,1892.0388301021935,2045.5420070682173,1785.4119861191164,0.012930163566626535,55,0.9818181818181818,0.8611,ranges
4,Under-0.18,-0.18,1899.6229018601869,2053.741382852041,1792.5686535219659,0.011475707564743752,55,0.9818181818181818,0.8611,ranges
4,Under-0.20,-0.2,1911.0560477206668,2037.3753665468707,1788.9867411301645,0.013259346564012429,55,0.9818181818181818,0.8611,ranges
4,Under-0.22,-0.22,1934.1291895537704,2041.4546030802721,1817.8436543119299,0.012020149543334874,55,0.9818181818181818,0.8611,ranges
4,Under-0.24,-0.24,1903.4263301671106,2041.4546030802721,1764.1129621403988,0.013511288740064614,55,0.9818181818181818,0.8611,ranges
4,Under-0.26,-0.26,1918.716348328076,2037.3753665468707,1781.8443741869382,0.011363285723117903,55,0.9636363636363636,0.8611,ranges
4,Under-0.28,-0.28,1926.4073545788144,2025.1864986347748,1785.4119861191164,0.01198997029841196,55,0.9454545454545454,0.8611,ranges
4,Under-0.30,-0.3,1907.237373704863,2053.741382852041,1785.4119861191164,0.011302949040388312,55,0.9454545454545454,0.8611,ranges
4,Under-0.32,-0.32,1888.2581563087517,2029.2413305954572,1767.6450722082652,0.01296886005660773,55,0.9454545454545454,0.8611,ranges
4,Under-0.34,-0.34,1873.2108557905135,2029.2413305954572,1767.6450722082652,0.013130689286525358,55,0.9454545454545454,0.8611,ranges
4,Under-0.36,-0.36,1903.4263301671106,2029.2413305954572,1771.1842542731067,0.01520586285662222,55,0.9454545454545454,0.8611,ranges
4,Under-0.38,-0.38,1880.719457264302,2009.0480327430114,1753.5589227470591,0.013405594584199036,55,0.9454545454545454,0.8611,ranges
4,Under-0.40,-0.4,1865.7322317255675,1989.0556815557065,1746.5579981483102,0.011400365451511059,55,0.9454545454545454,0.8611,ranges
4,Under-0.42,-0.42,1876.961401852456,2009.0480327430114,1750.054959636472,0.012479153440609446,55,0.9272727272727272,0.8611,ranges
4,Under-0.44,-0.44,1836.1151230684918,1949.6658404686175,1711.970408351601,0.011899986741483097,55,0.9272727272727272,0.8611,ranges
4,Under-0.46,-0.46,1821.4833440659354,1977.1558925573843,1715.3981185067942,0.012182280876532565,55,0.9272727272727272,0.8611,ranges
4,Under-0.48,-0.48,1825.1303212131443,1961.400176747384,1705.1355221161368,0.01175630579606186,55,0.9090909090909091,0.8611,ranges
4,Under-0.50,-0.5,1806.9681639378584,1934.1291895537704,1694.9343230673219,0.011918461360703174,55,0.9090909090909091,0.8611,ranges
5,Over-0.48,0.48,366.9575802812582,390.4314684414629,344.2058417747672,0.016766225456084458,67,1.0,0.6814,ranges
5,Over-0.46,0.46,365.4925354988075,389.6513079091393,341.46290711616945,0.016531338160961744,67,1.0,0.6814,ranges
5,Over-0.44,0.44,359.69061389765363,383.4658838013922,337.38943460503293,0.016684221565069882,67,1.0,0.6814,ranges
5,Over-0.42,0.42,353.98079347777275,377.37864869138775,331.3701588719875,0.017071428501219746,67,1.0,0.6814,ranges
5,Over-0.40,0.4,350.4582752395678,372.8767203129377,328.7295102156239,0.017067762422915154,67,1.0,0.6814,ranges
5,Over-0.38,0.38,346.9708101312699,373.62329473654626,322.86473390485014,0.015780961523540703,67,1.0,0.6814,ranges
5,Over-0.36,0.36,340.099647498839,363.3059280080125,320.93315288170743,0.016816020220720637,67,1.0,0.6814,ranges
5,Over-0.34,0.34,338.7418305716085,362.57996975643346,317.7394968836976,0.015681484141562032,67,1.0,0.6814,ranges
5,Over-0.32,0.32,330.7080147047302,354.68953444351985,313.3216988977765,0.01699510473719251,67,1.0,0.6814,ranges
5,Over-0.30,0.3,327.41708752793977,347.66551569606236,308.34795044498173,0.01859825733991727,67,1.0,0.6814,ranges
5,Over-0.28,0.28,320.2918639497665,339.42006005908854,299.8331203218334,0.017274450067273413,67,1.0,0.6814,ranges
5,Over-0.26,0.26,317.1045895182164,335.3709576366441,295.664289666339,0.017090402175248588,67,1.0,0.6814,ranges
5,Over-0.24,0.24,308.96532525234767,330.04719363457986,289.8091647982529,0.017572297223105212,67,1.0,0.6814,ranges
5,Over-0.22,0.22,308.96532525234767,332.69842709955185,291.5534217503025,0.017281542982612304,67,1.0,0.6814,ranges
5,Over-0.20,0.2,303.4531565419633,325.4582714464405,286.35189420845006,0.01600287404357696,67,1.0,0.6814,ranges
5,Over-0.18,0.18,295.664289666339,313.9490321530206,279.5605912644927,0.018189123250347012,67,1.0,0.6814,ranges
5,Over-0.16,0.16,290.97083942510784,312.0707904961926,274.0243725622042,0.015539345716405419,67,1.0,0.6814,ranges
5,Over-0.14,0.14,291.5534217503025,308.34795044498173,271.2975131736488,0.015482522165152517,67,1.0,0.6814,ranges
5,Over-0.12,0.12,281.24316574474307,301.03497509551266,264.33399947065203,0.01732538913314228,67,1.0,0.6814,ranges
5,Over-0.10,0.1,276.7786400977708,294.4838768660348,260.6587427841994,0.015545304034932577,67,1.0,0.6814,ranges
5,Over-0.08,0.08,268.5977891893481,286.35189420845006,251.94445651156622,0.018339705230341733,67,1.0,0.6814,ranges
5,Over-0.06,0.06,271.2975131736488,287.4997106692768,253.96829912347224,0.015105098171965191,67,1.0,0.6814,ranges
5,Over-0.04,0.04,263.8058070209971,281.8062713046279,248.93889193472597,0.016124008033740794,67,1.0,0.6814,ranges
5,Over-0.02,0.02,257.0345862654828,274.57302464171346,244.0090835414104,0.015165271102517187,67,1.0,0.6814,ranges
5,True-0.00,0.0,256.00839904452675,272.384985468054,242.06460471209317,0.01697489515461896,67,1.0,0.6814,ranges
