nbon,nrep,refmethod,prop_monitored_sp,prop_possible_int,prop_realized_int,prop_detected_int
8,20,global,0.8666666666666667,0.6839577329490875,0.03170028818443804,0.012487992315081652
9,1,global,0.9466666666666667,0.751937984496124,0.03875968992248062,0.015503875968992248
9,2,global,0.9733333333333334,0.8192883895131086,0.03089887640449438,0.014044943820224719
9,3,global,0.9866666666666667,0.8170731707317073,0.0375234521575985,0.019699812382739212
9,4,global,0.9733333333333334,0.8414096916299559,0.030837004405286344,0.019383259911894272
9,5,global,0.9333333333333333,0.7249575551782682,0.031409168081494056,0.013582342954159592
9,6,global,0.9066666666666666,0.7423698384201077,0.03500897666068223,0.01436265709156194
9,7,global,0.9866666666666667,0.793315743183817,0.02990325417766051,0.014072119613016711
9,8,global,0.9333333333333333,0.6794055201698513,0.03397027600849257,0.008492569002123142
9,9,global,0.9466666666666667,0.7789291882556131,0.025906735751295335,0.007772020725388601
9,10,global,0.9733333333333334,0.8562144597887896,0.030056864337936636,0.015434606011372868
9,11,global,0.9866666666666667,0.8501248959200666,0.034970857618651124,0.01582014987510408
9,12,global,0.9333333333333333,0.7883895131086143,0.04119850187265917,0.011235955056179775
9,13,global,0.9866666666666667,0.8559670781893004,0.03209876543209877,0.014814814814814815
9,14,global,0.92,0.6181262729124236,0.03971486761710794,0.017311608961303463
9,15,global,0.88,0.6436583261432269,0.025884383088869714,0.015530629853321829
9,16,global,0.9333333333333333,0.706368899917287,0.034739454094292806,0.009925558312655087
9,17,global,0.9733333333333334,0.8015640273704789,0.04985337243401759,0.015640273704789834
9,18,global,0.92,0.7764900662251656,0.03145695364238411,0.014072847682119206
9,19,global,0.96,0.7845149253731343,0.03451492537313433,0.012126865671641791
9,20,global,0.9733333333333334,0.7570815450643776,0.029184549356223177,0.014592274678111588
10,1,global,1.0,0.8865979381443299,0.030927835051546393,0.011895321173671689
10,2,global,0.9466666666666667,0.831390134529148,0.03766816143497758,0.01883408071748879
10,3,global,0.9466666666666667,0.8064182194616977,0.040372670807453416,0.013457556935817806
10,4,global,0.96,0.7631822386679001,0.036077705827937095,0.016651248843663275
10,5,global,0.9333333333333333,0.7698476343223737,0.02967121090617482,0.012830793905372895
10,6,global,0.9866666666666667,0.8356890459363958,0.022084805653710248,0.0088339222614841
10,7,global,0.96,0.7393458870168483,0.040634291377601585,0.018830525272547076
10,8,global,0.96,0.8095238095238095,0.03720238095238095,0.01488095238095238
10,9,global,0.9466666666666667,0.7631048387096774,0.028225806451612902,0.014112903225806451
10,10,global,0.96,0.7650462962962963,0.04513888888888889,0.013888888888888888
10,11,global,0.9866666666666667,0.7942857142857143,0.027857142857142858,0.017142857142857144
10,12,global,0.9466666666666667,0.7876190476190477,0.03238095238095238,0.010476190476190476
10,13,global,0.96,0.8070739549839229,0.04501607717041801,0.01822079314040729
10,14,global,0.9466666666666667,0.7914691943127962,0.04265402843601896,0.021800947867298578
10,15,global,0.9866666666666667,0.8534635879218473,0.03463587921847247,0.011545293072824156
10,16,global,0.9866666666666667,0.8161318300086731,0.03469210754553339,0.015611448395490026
10,17,global,0.96,0.8143767060964513,0.03821656050955414,0.014558689717925387
10,18,global,0.9466666666666667,0.7911733046286329,0.04628632938643703,0.022604951560818085
10,19,global,0.9733333333333334,0.8616822429906542,0.037383177570093455,0.013084112149532711
10,20,global,0.9866666666666667,0.8462255358807083,0.04473438956197577,0.022367194780987885
