sim,set,variable,deg,rank,occ,eff
87,species,node_39,22,2,0.4109,6.63916391639164
87,species,node_31,19,3,0.3333,7.035203520352036
87,species,node_6,9,4,0.7404,6.21112111211121
88,species,node_62,53,1,0.6538,6.221122112211221
88,species,node_55,33,2,0.375,5.809080908090809
88,species,node_69,24,3,0.6958,6.341134113411343
88,species,node_61,13,4,0.8415,6.033103310331034
89,species,node_39,50,1,0.5528,6.757175717571757
89,species,node_62,33,2,0.7107,5.865086508650866
89,species,node_15,15,3,0.4519,7.307230723072307
89,species,node_4,6,4,0.652,7.785278527852786
90,species,node_61,61,1,0.6492,5.007000700070008
90,species,node_55,31,2,0.6975,5.2410241024102415
90,species,node_51,16,3,0.2816,7.041204120412042
90,species,node_7,8,4,0.4177,5.945094509450946
91,species,node_71,60,1,0.104,6.247124712471248
91,species,node_25,33,2,0.5547,5.477047704770477
91,species,node_23,17,3,0.4902,7.505250525052505
91,species,node_67,8,4,0.5793,3.676867686768677
92,species,node_60,65,1,0.4735,4.16891689168917
92,species,node_75,34,2,0.2797,5.893089308930892
92,species,node_51,24,3,0.3162,3.854885488548855
92,species,node_65,11,4,0.9072,7.16921692169217
93,species,node_54,53,1,0.61,5.633063306330632
93,species,node_52,30,2,0.4896,7.639263926392639
93,species,node_70,16,3,0.5344,8.347334733473348
93,species,node_49,13,4,0.3624,8.02930293029303
94,species,node_50,47,1,0.2557,7.0972097209720975
94,species,node_24,30,2,0.3892,5.577057705770576
94,species,node_19,18,3,0.5553,5.085008500850085
94,species,node_66,8,4,0.8529,5.443044304430442
95,species,node_49,55,1,0.6941,6.681168116811682
95,species,node_8,28,2,0.5303,6.279127912791277
95,species,node_70,25,3,0.441,5.04100410041004
95,species,node_50,14,4,0.6782,4.906990699069906
96,species,node_67,63,1,0.1593,5.879087908790879
96,species,node_16,32,2,0.6094,3.9568956895689573
96,species,node_31,19,3,0.5043,6.423142314231423
96,species,node_72,4,4,0.7126,15.0
97,species,node_35,62,1,0.1575,5.2530253025302525
97,species,node_28,35,2,0.2603,4.952995299529954
97,species,node_64,22,3,0.1026,5.995099509950994
97,species,node_3,9,4,0.4691,5.891089108910892
98,species,node_71,52,1,0.6236,5.215021502150215
98,species,node_36,30,2,0.5235,5.199019901990198
98,species,node_53,21,3,0.8457,5.877087708770877
98,species,node_9,11,4,0.3328,5.313031303130313
99,species,node_49,60,1,0.4695,5.879087908790879
99,species,node_40,36,2,0.6071,5.0730073007300724
99,species,node_14,15,3,0.5921,7.543254325432542
99,species,node_71,12,4,0.909,6.295129512951294
100,species,node_73,49,1,0.6609,8.08930893089309
100,species,node_63,36,2,0.1503,6.023102310231023
100,species,node_21,26,3,0.553,4.764976497649766
100,species,node_74,14,4,0.9458,4.492949294929494
